# Time (s),Elevation (rad),eta_tot,eta_diff,eta_atm,eta_sys,Distance (m)
3.460000000000000000e+02,2.969849327485259605e-04,2.003537200828793536e-07,1.690316249567118748e-02,3.748257719891015679e-04,3.162277660168379134e-02,2.571238993907596916e+06
3.450000000000000000e+02,1.407859332514441782e-03,4.897444415018530513e-07,1.699568110564263906e-02,9.112361528357765337e-04,3.162277660168379134e-02,2.564176553318195045e+06
3.440000000000000000e+02,2.521808306642985258e-03,7.831109715472431629e-07,1.708895922432897979e-02,1.449131160211918805e-03,3.162277660168379134e-02,2.557114123795433901e+06
3.430000000000000000e+02,3.638857393661015793e-03,1.080512421156655911e-06,1.718300504704574697e-02,1.988523125962534093e-03,3.162277660168379134e-02,2.550051714145898819e+06
3.420000000000000000e+02,4.759032411774387870e-03,1.382008906293296355e-06,1.727782687794828312e-02,2.529424516981844222e-03,3.162277660168379134e-02,2.542989333249877673e+06
3.410000000000000000e+02,5.882359462649965412e-03,1.687661567396206840e-06,1.737343313173618509e-02,3.071847937039515371e-03,3.162277660168379134e-02,2.535926990062378347e+06
3.400000000000000000e+02,7.008864935261531481e-03,1.997532589254266892e-06,1.746983233538825994e-02,3.615806128637742874e-03,3.162277660168379134e-02,2.528864693614156917e+06
3.390000000000000000e+02,8.138575509791169671e-03,2.311685221311627972e-06,1.756703312992870594e-02,4.161311974895117761e-03,3.162277660168379134e-02,2.521802453012768645e+06
3.380000000000000000e+02,9.271518161601205801e-03,2.630183798418718585e-06,1.766504427222484117e-02,4.708378501464568697e-03,3.162277660168379134e-02,2.514740277443632018e+06
3.370000000000000000e+02,1.040772016526464797e-02,2.953093762036090138e-06,1.776387463681742412e-02,5.257018878479549108e-03,3.162277660168379134e-02,2.507678176171114203e+06
3.360000000000000000e+02,1.154720909866118091e-02,3.280481681903629691e-06,1.786353321778380923e-02,5.807246422531878692e-03,3.162277660168379134e-02,2.500616158539631404e+06
3.350000000000000000e+02,1.269001284714401517e-02,3.612415278187630153e-06,1.796402913063499876e-02,6.359074598683799734e-03,3.162277660168379134e-02,2.493554233974767849e+06
3.340000000000000000e+02,1.383615960776845254e-02,3.948963444114470327e-06,1.806537161424691743e-02,6.912517022509831639e-03,3.162277660168379134e-02,2.486492411984414794e+06
3.330000000000000000e+02,1.498567789359341561e-02,4.290196269105563957e-06,1.816757003282673533e-02,7.467587462173864640e-03,3.162277660168379134e-02,2.479430702159930021e+06
3.320000000000000000e+02,1.613859653805133076e-02,4.636185062424247456e-06,1.827063387791513088e-02,8.024299840539249676e-03,3.162277660168379134e-02,2.472369114177313168e+06
3.310000000000000000e+02,1.729494469939103080e-02,4.987002377348055481e-06,1.837457277042492051e-02,8.582668237314156068e-03,3.162277660168379134e-02,2.465307657798402477e+06
3.300000000000000000e+02,1.845475186519083752e-02,6.059749737108062009e-06,1.847939646271691549e-02,1.036971702973608390e-02,3.162277660168379134e-02,2.458246342872091569e+06
3.290000000000000000e+02,1.961804785694889683e-02,7.262213764967051653e-06,1.858511484071385597e-02,1.235673631782654817e-02,3.162277660168379134e-02,2.451185179335570429e+06
3.280000000000000000e+02,2.078486283474802535e-02,8.481926669257174579e-06,1.869173792605308485e-02,1.434976636602249174e-02,3.162277660168379134e-02,2.444124177215579432e+06
