# Time (s),Elevation (rad),eta_tot,eta_diff,eta_atm,eta_sys,Distance (m),sigma2,T_turb
3.420000000000000000e+02,2.980163764790820817e-04,0.000000000000000000e+00,1.536064711346055503e-02,1.709227947009379781e-03,3.162277660168379134e-02,2.571232427420340944e+06,inf,0.000000000000000000e+00
3.410000000000000000e+02,1.394669801266364096e-03,0.000000000000000000e+00,1.544370306991935810e-02,3.282647587537973650e-03,3.162277660168379134e-02,2.564260292198210489e+06,inf,0.000000000000000000e+00
3.400000000000000000e+02,2.494241063660115713e-03,0.000000000000000000e+00,1.552742675143212875e-02,4.860253585300423722e-03,3.162277660168379134e-02,2.557288663540891837e+06,inf,0.000000000000000000e+00
3.390000000000000000e+02,3.596753403622801257e-03,0.000000000000000000e+00,1.561182514454589887e-02,6.442079283751062438e-03,3.162277660168379134e-02,2.550317554204802960e+06,inf,0.000000000000000000e+00
3.380000000000000000e+02,4.702230300736570147e-03,0.000000000000000000e+00,1.569690532472329050e-02,8.028158370137719602e-03,3.162277660168379134e-02,2.543346977061777841e+06,inf,0.000000000000000000e+00
3.370000000000000000e+02,5.810695477181200205e-03,0.000000000000000000e+00,1.578267445765680829e-02,9.618524879774320926e-03,3.162277660168379134e-02,2.536376945100625046e+06,inf,0.000000000000000000e+00
3.360000000000000000e+02,6.922172900757076440e-03,0.000000000000000000e+00,1.586913980060503798e-02,1.121321320037809051e-02,3.162277660168379134e-02,2.529407471428693738e+06,inf,0.000000000000000000e+00
3.350000000000000000e+02,8.036686787952771957e-03,0.000000000000000000e+00,1.595630870375089674e-02,1.281225807647075506e-02,3.162277660168379134e-02,2.522438569273477420e+06,inf,0.000000000000000000e+00
3.340000000000000000e+02,9.154261607052060004e-03,0.000000000000000000e+00,1.604418861158257714e-02,1.441569461383632178e-02,3.162277660168379134e-02,2.515470251984232105e+06,inf,0.000000000000000000e+00
3.330000000000000000e+02,1.027492208129201709e-02,0.000000000000000000e+00,1.613278706429719170e-02,1.602355828405215010e-02,3.162277660168379134e-02,2.508502533033634536e+06,inf,0.000000000000000000e+00
3.320000000000000000e+02,1.139869319205712335e-02,0.000000000000000000e+00,1.622211169922803745e-02,1.763588492907167821e-02,3.162277660168379134e-02,2.501535426019449253e+06,inf,0.000000000000000000e+00
3.310000000000000000e+02,1.252560018213107369e-02,0.000000000000000000e+00,1.631217025229545273e-02,1.925271076588994101e-02,3.162277660168379134e-02,2.494568944666240830e+06,inf,0.000000000000000000e+00
3.300000000000000000e+02,1.365566855898223998e-02,0.000000000000000000e+00,1.640297055948197052e-02,2.087407239125739847e-02,3.162277660168379134e-02,2.487603102827097755e+06,inf,0.000000000000000000e+00
3.290000000000000000e+02,1.478892409810685094e-02,0.000000000000000000e+00,1.649452055833207365e-02,2.250000678647651534e-02,3.162277660168379134e-02,2.480637914485395886e+06,inf,0.000000000000000000e+00
3.280000000000000000e+02,1.592539284641732861e-02,0.000000000000000000e+00,1.658682828947707216e-02,2.413055132226319538e-02,3.162277660168379134e-02,2.473673393756583333e+06,inf,0.000000000000000000e+00
3.270000000000000000e+02,1.706510112567377613e-02,0.000000000000000000e+00,1.667990189818542232e-02,2.576574376367008271e-02,3.162277660168379134e-02,2.466709554889998399e+06,inf,0.000000000000000000e+00
3.260000000000000000e+02,1.820807553597411296e-02,1.539252420564508593e-05,1.677374963593917384e-02,2.901358414547105385e-02,3.162277660168379134e-02,2.459746412270712201e+06,7.229961383832462132e+06,1.000180324259710485e+00
3.250000000000000000e+02,1.935434295928813164e-02,1.765263235239139341e-05,1.686837986203674686e-02,3.310015309357217800e-02,3.162277660168379134e-02,2.452783980421409942e+06,6.847672121442455798e+06,9.997838140290128406e-01
3.240000000000000000e+02,2.050393056304579409e-02,1.995837229333065241e-05,1.696380104522271157e-02,3.719855884871075408e-02,3.162277660168379134e-02,2.445822274004290812e+06,6.464275552583659068e+06,1.000174630476833748e+00
3.230000000000000000e+02,2.165686580377512369e-02,2.228911329917067697e-05,1.706002176534497997e-02,4.130889929641729658e-02,3.162277660168379134e-02,2.438861307823011186e+06,6.079762520286557265e+06,1.000160244766673978e+00
3.220000000000000000e+02,2.281317643079520951e-02,2.463681528714164025e-05,1.715705071503988155e-02,4.543127336605454897e-02,3.162277660168379134e-02,2.431901096824651584e+06,5.694123769933503121e+06,9.995097222151532179e-01
3.210000000000000000e+02,2.397289048996121760e-02,2.703660427151509214e-05,1.725489670144568499e-02,4.956578104416885927e-02,3.162277660168379134e-02,2.424941656101719011e+06,5.307349948009719141e+06,9.996726873997268115e-01
3.200000000000000000e+02,2.513603632746541292e-02,2.947484852012568623e-05,1.735356864794504808e-02,5.371252338804122922e-02,3.162277660168379134e-02,2.417983000894181896e+06,4.919431600835624151e+06,9.999705915333010342e-01
3.190000000000000000e+02,2.630264259368998020e-02,3.194732893591088941e-05,1.745307559593693020e-02,5.787160253942306293e-02,3.162277660168379134e-02,2.411025146591535304e+06,4.530359173281889409e+06,1.000223548128203133e+00
3.180000000000000000e+02,2.747273824712125750e-02,3.443205995733474289e-05,1.755342670663832122e-02,6.204312173849081680e-02,3.162277660168379134e-02,2.404068108734913636e+06,4.140123007464019116e+06,9.997869280661355607e-01
3.170000000000000000e+02,2.864635255831661162e-02,3.699711716732458761e-05,1.765463126291682075e-02,6.622718533798835350e-02,3.162277660168379134e-02,2.397111903019214049e+06,3.748713341419348028e+06,1.000628655465009231e+00
3.160000000000000000e+02,2.982351511393084922e-02,3.953638522246604998e-05,1.775669867115392889e-02,7.042389881758154280e-02,3.162277660168379134e-02,2.390156545295281801e+06,3.356120307764216326e+06,9.998035395289651683e-01
3.150000000000000000e+02,3.100425582080126516e-02,4.214833872110694584e-05,1.785963846314020387e-02,7.463336879842193128e-02,3.162277660168379134e-02,2.383202051572113298e+06,2.962333932331572752e+06,9.999418688093559826e-01
3.140000000000000000e+02,3.218860491009230274e-02,4.484091266427805950e-05,1.796346029800250516e-02,7.885570305792281853e-02,3.162277660168379134e-02,2.376248438019102905e+06,2.567344132788686547e+06,1.001039781509256210e+00
3.130000000000000000e+02,3.337659294150088080e-02,4.744243712038435386e-05,1.806817396416404709e-02,8.309101054475184767e-02,3.162277660168379134e-02,2.369295720968330279e+06,2.171140717234649695e+06,9.993064404727221017e-01
3.120000000000000000e+02,3.456825080752490287e-02,5.014367317635552425e-05,1.817378938133782859e-02,8.733940139404856862e-02,3.162277660168379134e-02,2.362343916916878428e+06,1.773713382776788902e+06,9.989883934739460791e-01
3.110000000000000000e+02,3.576360973779079550e-02,5.341604759417774257e-05,1.828031660255402188e-02,9.234405168128050068e-02,3.162277660168379134e-02,2.355393042529197410e+06,1.612148224532351596e+06,1.000642884154065326e+00
3.100000000000000000e+02,3.696270130344687932e-02,5.676023115518836614e-05,1.838776581622186129e-02,9.765859090601206050e-02,3.162277660168379134e-02,2.348443114639507141e+06,1.543971252355628414e+06,9.995504931958479888e-01
3.090000000000000000e+02,3.816555742162211495e-02,6.026170439324792438e-05,1.849614734822694131e-02,1.029898151468004591e-01,3.162277660168379134e-02,2.341494150254235137e+06,1.475580238316125236e+06,1.000381969494863910e+00
3.080000000000000000e+02,3.937221035994915852e-02,6.376738492979600623e-05,1.860547166406413197e-02,1.083378674182447210e-01,3.162277660168379134e-02,2.334546166554501746e+06,1.406973347767052241e+06,1.000409115975999352e+00
3.070000000000000000e+02,4.058269274115231667e-02,6.734345826198174254e-05,1.871574937100702052e-02,1.137028923087590182e-01,3.162277660168379134e-02,2.327599180898646824e+06,1.338148725872104056e+06,1.000729452811789599e+00
3.060000000000000000e+02,4.179703754770669466e-02,7.103787875019881880e-05,1.882699122031462544e-02,1.190850360012227077e-01,3.162277660168379134e-02,2.320653210824795999e+06,1.269104497340559028e+06,1.001963433241455537e+00
3.050000000000000000e+02,4.301527812656274347e-02,7.461703792921751347e-05,1.893920810947571920e-02,1.244844462939201507e-01,3.162277660168379134e-02,2.313708274053474888e+06,1.199838766158654355e+06,1.000831801714622493e+00
3.040000000000000000e+02,4.423744819394254818e-02,7.831858096748458772e-05,1.905241108449177989e-02,1.299012726217985414e-01,3.162277660168379134e-02,2.306764388490262907e+06,1.130349615316878306e+06,1.000694379884595975e+00
3.030000000000000000e+02,4.546358184020472121e-02,8.196139816177848739e-05,1.916661134219904694e-02,1.353356660780297427e-01,3.162277660168379134e-02,2.299821572228498757e+06,1.060635106533371145e+06,9.991984627419930876e-01
3.020000000000000000e+02,4.669371353478525555e-02,8.588657919657778129e-05,1.928182023263037836e-02,1.407877794359088941e-01,3.162277660168379134e-02,2.292879843552029226e+06,9.906932799729992403e+05,1.000488996959442822e+00
3.010000000000000000e+02,4.792787813120415186e-02,8.974946760083263124e-05,1.939804926141792951e-02,1.462577671710444116e-01,3.162277660168379134e-02,2.285939220938000828e+06,9.205221539626934100e+05,1.000356697377238202e+00
3.000000000000000000e+02,4.916611087215474324e-02,9.354345443305709762e-05,1.951531009223680946e-02,1.517457854839145970e-01,3.162277660168379134e-02,2.278999723059711512e+06,8.501197247020836221e+05,9.988983810993327106e-01
2.990000000000000000e+02,5.040844739466250612e-02,9.756423788078523625e-05,1.963361454929109934e-02,1.572519923227322647e-01,3.162277660168379134e-02,2.272061368789498229e+06,7.794839659701840719e+05,9.992962078262876968e-01
2.980000000000000000e+02,5.165492373531950510e-02,1.017945529363061251e-04,1.975297461984251365e-02,1.627765474066444062e-01,3.162277660168379134e-02,2.265124177201683167e+06,7.086128288277769461e+05,1.001152419037772079e+00
2.970000000000000000e+02,5.290557633560272199e-02,1.057322396143583809e-04,1.987340245678259967e-02,1.682783595765527107e-01,3.162277660168379134e-02,2.258188167575569823e+06,6.650108000792379025e+05,9.997857310891911098e-01
2.960000000000000000e+02,5.416044204726319644e-02,1.099075761555002792e-04,1.999491038124943248e-02,1.737452346170522688e-01,3.162277660168379134e-02,2.251253359398488421e+06,6.569155803689066088e+05,1.000449718793509080e+00
2.950000000000000000e+02,5.541955813780010537e-02,1.141620735590053993e-04,2.011751088528925674e-02,1.792306266111799162e-01,3.162277660168379134e-02,2.244319772368897218e+06,6.487929411900719861e+05,1.001233518785352716e+00
2.940000000000000000e+02,5.668296229601630515e-02,1.183304781467793592e-04,2.024121663456424081e-02,1.847346997517840539e-01,3.162277660168379134e-02,2.237387426399537362e+06,6.406426394098337041e+05,1.000717575547350080e+00
2.930000000000000000e+02,5.795069263765182527e-02,1.224753695572193351e-04,2.036604047110685337e-02,1.902576200916828442e-01,3.162277660168379134e-02,2.230456341620643158e+06,6.324644291410925798e+05,9.995398104190139632e-01
2.920000000000000000e+02,5.922278771110625617e-02,1.268654840527257035e-04,2.049199541612189285e-02,1.957995555685939637e-01,3.162277660168379134e-02,2.223526538383207284e+06,6.242580617056343472e+05,9.998791885761434406e-01
2.910000000000000000e+02,6.049928650324194052e-02,1.312898161818967086e-04,2.061909467283688444e-02,2.013606760304163801e-01,3.162277660168379134e-02,2.216598037262306549e+06,6.160232855966934003e+05,9.999695763321065911e-01
2.900000000000000000e+02,6.178022844527576718e-02,1.355515050174008944e-04,2.074735162940178831e-02,2.069411532608983195e-01,3.162277660168379134e-02,2.209670859060485847e+06,6.077598464409442386e+05,9.983775606981698525e-01
2.890000000000000000e+02,6.306565341875654263e-02,1.403193076799348572e-04,2.087677986183894899e-02,2.125411610056777978e-01,3.162277660168379134e-02,2.202745024811196141e+06,5.994674869599409867e+05,1.000025036147900614e+00
2.880000000000000000e+02,6.435560176163417079e-02,1.451819263711123114e-04,2.100739313704384423e-02,2.181608749987233864e-01,3.162277660168379134e-02,2.195820555782305077e+06,5.911459469309649430e+05,1.001759627183243850e+00
2.870000000000000000e+02,6.565011427441552749e-02,1.497207868326469124e-04,2.113920541583800758e-02,2.238004729891524824e-01,3.162277660168379134e-02,2.188897473479656968e+06,5.827949631473125191e+05,1.000765768631300734e+00
2.860000000000000000e+02,6.694923222641396832e-02,1.543829200601211349e-04,2.127223085607461359e-02,2.294601347684575299e-01,3.162277660168379134e-02,2.181975799650709145e+06,5.744142693779792171e+05,1.000181849962097136e+00
2.850000000000000000e+02,6.825299736208949308e-02,1.593734124155513695e-04,2.140648381579798518e-02,2.351400421981272026e-01,3.162277660168379134e-02,2.175055556288220454e+06,5.660035963267588522e+05,1.001253259630461301e+00
2.840000000000000000e+02,6.956145190748655449e-02,1.638180468322832865e-04,2.154197885645763380e-02,2.408403792376930808e-01,3.162277660168379134e-02,2.168136765634017531e+06,5.575626715907128528e+05,9.984971875519362827e-01
2.830000000000000000e+02,7.087463857676347401e-02,1.686429916813710430e-04,2.167873074617809870e-02,2.461058076625975977e-01,3.162277660168379134e-02,2.161219450182820205e+06,5.429335682661263272e+05,9.995685519835271204e-01
2.820000000000000000e+02,7.219260057882348480e-02,1.734524339604659427e-04,2.181675446308533467e-02,2.512819670199208932e-01,3.162277660168379134e-02,2.154303632686140016e+06,5.267857225952933077e+05,1.000527273240867876e+00
2.810000000000000000e+02,7.351538162403808974e-02,1.786727730354624108e-04,2.195606519869077594e-02,2.564770526704749920e-01,3.162277660168379134e-02,2.147389336156248115e+06,5.105788333670439897e+05,1.003356692328452260e+00
2.800000000000000000e+02,7.484302593107729218e-02,1.827149087805376385e-04,2.209667836133382551e-02,2.616912382785097635e-01,3.162277660168379134e-02,2.140476583870215807e+06,4.943123588083543582e+05,9.992123866068532978e-01
2.790000000000000000e+02,7.617557823383416804e-02,1.877339586446286177e-04,2.223860957968423757e-02,2.669246995317604010e-01,3.162277660168379134e-02,2.133565399374026805e+06,4.779857508336190949e+05,1.000106949301206027e+00
2.780000000000000000e+02,7.751308378845780944e-02,1.926856112076602513e-04,2.238187470630485093e-02,2.721776141690686046e-01,3.162277660168379134e-02,2.126655806486764457e+06,4.615984549584829365e+05,1.000231256594012796e+00
2.770000000000000000e+02,7.885558838048764563e-02,1.975255043790927081e-04,2.252648982127615843e-02,2.774501620084018350e-01,3.162277660168379134e-02,2.119747829304877669e+06,4.451499102124293568e+05,9.994122615901119833e-01
2.760000000000000000e+02,8.020313833209420651e-02,2.027426399667472707e-04,2.267247123588361779e-02,2.827425249752905101e-01,3.162277660168379134e-02,2.112841492206519004e+06,4.286395490500670858e+05,1.000126893412925044e+00
2.750000000000000000e+02,8.155578050942724477e-02,2.077732769364768340e-04,2.281983549636860259e-02,2.880548871316873094e-01,3.162277660168379134e-02,2.105936819855969865e+06,4.120667972610978759e+05,9.995440359929661511e-01
2.740000000000000000e+02,8.291356233007218801e-02,2.132302548095304530e-04,2.296859938774437754e-02,2.933874347052514708e-01,3.162277660168379134e-02,2.099033837208141573e+06,3.954310738789616735e+05,1.000628349739701717e+00
2.730000000000000000e+02,8.427653177061689149e-02,2.183900901127103992e-04,2.311877993767795167e-02,2.987403561190661860e-01,3.162277660168379134e-02,2.092132569513160503e+06,3.787317910881249118e+05,9.999404156640092634e-01
2.720000000000000000e+02,8.564473737433210554e-02,2.239197956290949918e-04,2.327039442043903408e-02,3.041138420218033600e-01,3.162277660168379134e-02,2.085233042321037035e+06,3.619683541299813078e+05,1.000581702574201648e+00
2.710000000000000000e+02,8.701822825896218805e-02,2.283996938170248625e-04,2.342346036091717126e-02,3.095080853183203029e-01,3.162277660168379134e-02,2.078335281486423453e+06,3.451401612073963042e+05,9.962594747415586260e-01
2.700000000000000000e+02,8.839705412463436107e-02,2.339526520615654132e-04,2.357799553870818313e-02,3.143587398611217276e-01,3.162277660168379134e-02,2.071439313173457049e+06,3.362812330281769391e+05,9.981494051634685061e-01
2.690000000000000000e+02,8.978126526187803214e-02,2.392537434374432609e-04,2.373401799227123354e-02,3.191039039301816205e-01,3.162277660168379134e-02,2.064545163860692177e+06,3.291586897239359678e+05,9.989766954642385066e-01
2.680000000000000000e+02,9.117091255977444186e-02,2.449691947711857710e-04,2.389154602315720147e-02,3.238677035046993447e-01,3.162277660168379134e-02,2.057652860346130328e+06,3.220081743216413306e+05,1.001150985006064698e+00
2.670000000000000000e+02,9.256604751421172728e-02,2.499511607872734078e-04,2.405059820031024004e-02,3.286503151158641778e-01,3.162277660168379134e-02,2.050762429752336349e+06,3.148294218460421544e+05,9.999889985139549520e-01
2.660000000000000000e+02,9.396672223627187959e-02,2.562082877809947917e-04,2.421119336444314124e-02,3.334519174037889888e-01,3.162277660168379134e-02,2.043873899531653151e+06,3.076221641563700978e+05,1.003560961306376731e+00
2.650000000000000000e+02,9.537298946073528849e-02,2.600265487301059030e-04,2.437335063248781061e-02,3.382726911466646391e-01,3.162277660168379134e-02,2.036987297471518395e+06,3.003861299025780754e+05,9.973222703374784448e-01
2.640000000000000000e+02,9.678490255471321191e-02,2.661278420340693778e-04,2.453708940212234041e-02,3.431128192903524221e-01,3.162277660168379134e-02,2.030102651699872920e+06,2.931210444809222827e+05,9.996093800039501653e-01
2.630000000000000000e+02,9.820251552640230086e-02,2.721423669840618027e-04,2.470242935637560408e-02,3.479724869783953345e-01,3.162277660168379134e-02,2.023219990690677892e+06,2.858266299889141228e+05,1.001178661413827609e+00
2.620000000000000000e+02,9.962588303397210132e-02,2.773438445865672322e-04,2.486939046831075639e-02,3.528518815824849275e-01,3.162277660168379134e-02,2.016339343269531615e+06,2.785026051795899402e+05,9.994497247737431644e-01
2.610000000000000000e+02,1.010550603945796627e-01,2.835678858691272172e-04,2.503799300578869735e-02,3.577511927333639208e-01,3.162277660168379134e-02,2.009460738619396230e+06,2.711486854151253356e+05,1.001097648387574202e+00
2.600000000000000000e+02,1.024901035935127103e-01,2.888482035348516482e-04,2.520825753631312366e-02,3.626706123521695746e-01,3.162277660168379134e-02,2.002584206286428496e+06,2.637645826197885908e+05,9.991126970243193739e-01
2.590000000000000000e+02,1.039310692934687363e-01,2.956576723461806886e-04,2.538020493195801766e-02,3.676103346822430784e-01,3.162277660168379134e-02,1.995709776185925351e+06,2.563500052321945550e+05,1.002089050406763882e+00
2.580000000000000000e+02,1.053780148439699416e-01,3.009445540588060342e-04,2.555385637437901369e-02,3.722637406961496476e-01,3.162277660168379134e-02,1.988837478608381934e+06,2.499276216103881306e+05,1.000412943615514250e+00
2.570000000000000000e+02,1.068309982909115413e-01,3.058438062411152438e-04,2.572923335991017871e-02,3.765674233501396517e-01,3.162277660168379134e-02,1.981967344225661363e+06,2.447092039009690343e+05,9.982288036610993398e-01
2.560000000000000000e+02,1.082900783862458388e-01,3.119755583561331191e-04,2.590635770474685601e-02,3.808891640487621078e-01,3.162277660168379134e-02,1.975099404097289080e+06,2.394688899627886130e+05,9.998056699099560074e-01
2.550000000000000000e+02,1.097553145978118344e-01,3.175512623582037479e-04,2.608525155021662947e-02,3.852291389335331107e-01,3.162277660168379134e-02,1.968233689676861046e+06,2.342064662159711006e+05,9.993087368527461267e-01
2.540000000000000000e+02,1.112267671192990887e-01,3.235395795902909293e-04,2.626593736813910215e-02,3.895875262959109797e-01,3.162277660168379134e-02,1.961370232818580931e+06,2.289217164737345884e+05,9.998376099733383704e-01
