# dt (s),ls (dB),QBERI,Pec,maxElev (deg),SKL (b),QBER,phiX,nX,nZ,mX,lambdaEC,sX0,sX1,vZ1,sZ1,mean photon no.,PxA,PxB,P1,P2,P3,mu1,mu2,mu3,eps_c,eps_s,Pap,NoPass,fs (Hz),minElev (deg),shiftElev (deg),SysLoss (dB),sigma2,T_turb
2.200000000000000000e+02,0.000000000000000000e+00,5.000000000000000104e-03,1.000000000000000021e-08,9.000000000000000000e+01,1.874802423122420609e+08,5.498785720835102503e-03,1.772163805433055531e-02,5.381420470756790638e+08,6.911451694264700636e+05,2.959127804240715690e+06,3.070584897836615518e+07,1.000000000000000036e-10,2.503427820117535591e+08,3.800459188666432965e+03,2.456896600238864776e+05,6.913610339888356382e-01,9.654025095058260675e-01,9.654025095058260675e-01,9.615636137940027917e-01,2.846628634581795797e-02,9.970099860179250373e-03,7.160362512445851424e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.010513386102077860e+01,5.462092499192617652e+03,1.011440552672671744e+00
2.200000000000000000e+02,1.428571428571428603e+00,5.000000000000000104e-03,1.000000000000000021e-08,9.000000000000000000e+01,1.330229597059210241e+08,5.500271503529240158e-03,1.814048757918871116e-02,3.836189314735370278e+08,5.978241261667633662e+05,2.110008276998232119e+06,2.189387177422612533e+07,1.000000000000000036e-10,1.782435767367428541e+08,3.288195005277316341e+03,2.096992457761524420e+05,6.892024750192359273e-01,9.620228734879816557e-01,9.620228734879816557e-01,9.585719896095593606e-01,3.033528094818447804e-02,1.109272944225616134e-02,7.158241158328695342e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.153370528959220565e+01,5.462092499192617652e+03,1.011440552672671744e+00
2.200000000000000000e+02,2.857142857142857206e+00,5.000000000000000104e-03,1.000000000000000021e-08,9.000000000000000000e+01,9.426023763961009681e+07,5.502353822516158240e-03,1.863591183963555012e-02,2.730218178243063688e+08,5.066705763559793704e+05,1.502262642935882322e+06,1.558682616757902130e+07,1.000000000000000036e-10,1.268022410718564838e+08,2.787880782568788163e+03,1.751379625058058009e+05,6.859854086487717773e-01,9.587002880056284537e-01,9.587002880056284537e-01,9.546082978493986015e-01,3.312689452469519402e-02,1.226480762590620444e-02,7.151338624797941579e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.296227671816363625e+01,5.462092499192617652e+03,1.011440552672671744e+00
2.200000000000000000e+02,4.285714285714285587e+00,5.000000000000000104e-03,1.000000000000000021e-08,9.000000000000000000e+01,6.669373907120559365e+07,5.505274959604276354e-03,1.918658401835432459e-02,1.938527012604175210e+08,4.307250612518241978e+05,1.067212422100625001e+06,1.107198307016103901e+07,1.000000000000000036e-10,9.009542675984737277e+07,2.371259894183686811e+03,1.465151097871808452e+05,6.818360877864251268e-01,9.549846597047707553e-01,9.549846597047707553e-01,9.509008596747847708e-01,3.560358064743585765e-02,1.349555967777937154e-02,7.132980508122128693e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.439084814673506330e+01,5.462092499192617652e+03,1.011440552672671744e+00
2.200000000000000000e+02,5.714285714285714413e+00,5.000000000000000104e-03,1.000000000000000021e-08,9.000000000000000000e+01,4.710901896693127602e+07,5.509348340751799022e-03,1.974767604242014599e-02,1.376398648283403814e+08,3.656314423011186882e+05,7.583059609133190243e+05,7.866237410566368140e+06,1.000000000000000036e-10,6.392661052905572206e+07,2.014390979968355623e+03,1.225788793519079627e+05,6.781925860785802396e-01,9.509856108156313770e-01,9.509856108156313770e-01,9.458283239174211099e-01,3.917816587094576086e-02,1.499351021163312925e-02,7.128933998283980555e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.581941957530649390e+01,5.462092499192617652e+03,1.011440552672671744e+00
2.200000000000000000e+02,7.142857142857143238e+00,5.000000000000000104e-03,1.000000000000000021e-08,9.000000000000000000e+01,3.321149112953248993e+07,5.515070448718820302e-03,2.042699047481372904e-02,9.748128595159643888e+07,3.103373058039047755e+05,5.376161594547586283e+05,5.575989595268607140e+06,1.000000000000000036e-10,4.530384909218403697e+07,1.711532104374131450e+03,1.021576837835531624e+05,6.734961331119131422e-01,9.465905003272008233e-01,9.465905003272008233e-01,9.411544167827348151e-01,4.261768909607382277e-02,1.622789412119136215e-02,7.110781740684305463e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.724799100387792095e+01,5.462092499192617652e+03,1.011440552672671744e+00
2.200000000000000000e+02,8.571428571428571175e+00,5.000000000000000104e-03,1.000000000000000021e-08,9.000000000000000000e+01,2.336245789341772348e+07,5.523120634254224080e-03,2.107273011422509251e-02,6.885768209044095874e+07,2.636037266046723817e+05,3.803092847806320060e+05,3.943520119665395468e+06,1.000000000000000036e-10,3.202784260949544609e+07,1.455915181676575003e+03,8.554794710716357804e+04,6.677821654977960097e-01,9.417324056285962808e-01,9.417324056285962808e-01,9.352464849792979651e-01,4.666142142942490689e-02,1.809209359127712802e-02,7.090280840451721467e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.867656243244935155e+01,5.462092499192617652e+03,1.011440552672671744e+00
2.200000000000000000e+02,1.000000000000000000e+01,5.000000000000000104e-03,1.000000000000000021e-08,9.000000000000000000e+01,1.639301728306146897e+07,5.534314732946175354e-03,2.181700152172047491e-02,4.868827160019285232e+07,2.249545126070048427e+05,2.694562188386321650e+05,2.793141964196916204e+06,1.044595952079336030e+02,2.261268543728333339e+07,1.244969073363673033e+03,7.179397636376258743e+04,6.635800834211820209e-01,9.363534330514382553e-01,9.363534330514382553e-01,9.287941040790275160e-01,5.107750408548435844e-02,2.012839183548812555e-02,7.089540406434434727e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,3.010513386102077860e+01,5.462092499192617652e+03,1.011440552672671744e+00
2.200000000000000000e+02,1.142857142857142883e+01,5.000000000000000104e-03,1.000000000000000021e-08,9.000000000000000000e+01,1.146962868060873635e+07,5.550149308933625091e-03,2.265821669508364875e-02,3.427370717049250752e+07,1.913026909728271421e+05,1.902241921669024159e+05,1.970922823771845782e+06,2.006765368591193806e+02,1.592708292350421287e+07,1.061758498099979533e+03,5.998498429520297213e+04,6.572180072547106899e-01,9.304833843182552799e-01,9.304833843182552799e-01,9.221782250986807483e-01,5.557617291161084938e-02,2.224560198970840230e-02,7.066534127866839210e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,3.153370528959220565e+01,5.462092499192617652e+03,1.011440552672671744e+00
2.200000000000000000e+02,1.285714285714285765e+01,5.000000000000000104e-03,1.000000000000000021e-08,9.000000000000000000e+01,7.998141440446932800e+06,5.572303780179266482e-03,2.355625173041283812e-02,2.410517305330145732e+07,1.635983497402901994e+05,1.343213469267871114e+05,1.390812508402207401e+06,2.856844269147811133e+02,1.119017700919203460e+07,9.116197026889090012e+02,5.042209347200245247e+04,6.514127710568203833e-01,9.238879150559200504e-01,9.238879150559200504e-01,9.144534051570025746e-01,6.102337760289883867e-02,2.452321724009858678e-02,7.056788565249391132e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,3.296227671816363625e+01,5.462092499192617652e+03,1.011440552672671744e+00
