# dt (s),ls (dB),QBERI,Pec,maxElev (deg),SKL (b),QBER,phiX,nX,nZ,mX,lambdaEC,sX0,sX1,vZ1,sZ1,mean photon no.,PxA,PxB,P1,P2,P3,mu1,mu2,mu3,eps_c,eps_s,Pap,NoPass,fs (Hz),minElev (deg),shiftElev (deg),SysLoss (dB),sigma2,T_turb
2.000000000000000000e+02,0.000000000000000000e+00,2.999999999999999889e-02,9.999999999999999547e-08,3.999999999999993605e+01,0.000000000000000000e+00,3.053072591753549017e-02,2.594668006280031469e-01,2.963170567339071631e+08,1.668252910895844398e+05,9.046774843833733350e+06,6.773035003372380137e+07,1.174332386037934339e+04,1.192823183886664212e+08,5.093297238369177649e+03,2.180696412464438617e+04,6.386334963648618857e-01,9.768224121682933525e-01,9.768224121682933525e-01,8.851528899472944634e-01,1.064034132376766445e-01,8.443696815028892133e-03,6.669684479103932251e-01,4.535986743724652603e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.346313475443945862e+01,1.320934874419686093e+04,9.881662176351238003e-01
2.000000000000000000e+02,1.428571428571428603e+00,2.999999999999999889e-02,9.999999999999999547e-08,3.999999999999993605e+01,2.490970830720932409e+07,3.062364861638368699e-02,5.520839946194324582e-02,1.062186710731979758e+08,5.934929694887894439e+05,3.252803259444853291e+06,2.433591089444362372e+07,1.700611507959437586e+04,7.115260963769942522e+07,1.817492015391881432e+04,3.503439897903998499e+05,3.503108240830726250e-01,9.304495137222899004e-01,9.304495137222899004e-01,9.088279797665951287e-01,7.454297388178247885e-02,1.662904635162239242e-02,3.772512888335003423e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.489170618301088567e+01,1.320934874419686093e+04,9.881662176351238003e-01
2.000000000000000000e+02,2.857142857142857206e+00,2.999999999999999889e-02,9.999999999999999547e-08,3.999999999999993605e+01,1.736113341110355407e+07,3.068506194138940005e-02,5.605693324013862749e-02,7.494295451200295985e+07,4.972946816984817269e+05,2.299629201271539088e+06,1.719688986445776001e+07,1.717467848454995692e+04,5.017514610181487352e+07,1.525951811104143781e+04,2.913380941706325975e+05,3.476474281972063429e-01,9.246763667697407429e-01,9.246763667697407429e-01,9.007444725223787696e-01,8.094622061374368016e-02,1.830930686387755024e-02,3.769690700237917080e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.632027761158231627e+01,1.320934874419686093e+04,9.881662176351238003e-01
2.000000000000000000e+02,4.285714285714285587e+00,2.999999999999999889e-02,9.999999999999999547e-08,3.999999999999993605e+01,1.204977614421859197e+07,3.077150334616400237e-02,5.697156479513353078e-02,5.270899869507659227e+07,4.182302094233037205e+05,1.621935129718503449e+06,1.212126068804326653e+07,1.732043729144455210e+04,3.527692839272255450e+07,1.286957228873605891e+04,2.432184343142222788e+05,3.444531098541229186e-01,9.182087676032504309e-01,9.182087676032504309e-01,8.919209043340156073e-01,8.780307301696869959e-02,2.027602264901569307e-02,3.763481727150100320e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.774884904015374332e+01,1.320934874419686093e+04,9.881662176351238003e-01
2.000000000000000000e+02,5.714285714285714413e+00,2.999999999999999889e-02,9.999999999999999547e-08,3.999999999999993605e+01,8.320581930115890689e+06,3.089339712973676946e-02,5.801396369605743564e-02,3.695804659291131049e+07,3.514520981295868405e+05,1.141759610534124076e+06,8.525076343840235844e+06,1.742995290041456610e+04,2.472995613066255301e+07,1.085754923959654661e+04,2.028204438348896510e+05,3.407041014721634009e-01,9.111479470334942210e-01,9.111479470334942210e-01,8.822204732842776620e-01,9.530167359873953359e-02,2.247785311698280442e-02,3.753868155875082491e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.917742046872517392e+01,1.320934874419686093e+04,9.881662176351238003e-01
2.000000000000000000e+02,7.142857142857143238e+00,2.999999999999999889e-02,9.999999999999999547e-08,3.999999999999993605e+01,0.000000000000000000e+00,3.069380514024544135e-02,1.044833641858905204e-01,5.533851515305103362e+07,3.022179647045686375e+06,1.698549600858268095e+06,1.270112543464541063e+07,8.356114055290496253e+03,1.413512099529639259e+07,6.828481802457504091e+04,6.747178784973516595e+05,8.961599932614258135e-01,8.105741881436123730e-01,8.105741881436123730e-01,9.359445198982545566e-01,2.951873185170992772e-02,3.453674825003551219e-02,9.439763148286117733e-01,4.285595515209872364e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,3.060599189729660097e+01,1.320934874419686093e+04,9.881662176351238003e-01
2.000000000000000000e+02,8.571428571428571175e+00,2.999999999999999889e-02,9.999999999999999547e-08,3.999999999999993605e+01,3.884801119688118808e+06,3.130498189464538117e-02,6.066521927407388798e-02,1.805856980720158294e+07,2.515403143334430933e+05,5.653232008576352382e+05,4.208329132863258012e+06,1.748754221599905213e+04,1.205501953211939149e+07,7.874464985981841892e+03,1.426265968577427557e+05,3.332197438138310153e-01,8.944369661246515113e-01,8.944369661246515113e-01,8.604578973478999027e-01,1.117342090687873934e-01,2.780789358331270389e-02,3.742524711334482279e-01,1.001595618598670190e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,3.203456332586802802e+01,1.320934874419686093e+04,9.881662176351238003e-01
2.000000000000000000e+02,1.000000000000000000e+01,2.999999999999999889e-02,9.999999999999999547e-08,3.999999999999993605e+01,2.616022698761027306e+06,3.164569833014170552e-02,6.232871075047177745e-02,1.256313802807250246e+07,2.110637645969312289e+05,3.975692761163137620e+05,2.952232055852654390e+06,1.742860135984368753e+04,8.367883983399660327e+06,6.679260222858529232e+03,1.186898058102679497e+05,3.285776711735468036e-01,8.852567793364889415e-01,8.852567793364889415e-01,8.428433095392071639e-01,1.266068025326071989e-01,3.054988792818563725e-02,3.740706925297409557e-01,1.050077121782832801e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,3.346313475443945862e+01,1.320934874419686093e+04,9.881662176351238003e-01
2.000000000000000000e+02,1.142857142857142883e+01,2.999999999999999889e-02,9.999999999999999547e-08,3.999999999999993605e+01,0.000000000000000000e+00,3.123960452283249326e-02,1.013025794539226671e-01,1.962862488154755533e+07,2.686884927709232434e+05,6.131904786265754374e+05,4.566838101488041691e+06,1.287930206068644475e+04,8.350595033659799956e+06,8.393722253999578243e+03,9.062236119739428977e+04,6.981028389769312614e-01,8.952565006445927231e-01,8.952565006445927231e-01,8.937568470903645146e-01,7.134176742412774719e-02,3.490138548550773823e-02,7.705795402519173276e-01,1.316493687799859535e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,3.489170618301088922e+01,1.320934874419686093e+04,9.881662176351238003e-01
2.000000000000000000e+02,1.285714285714285765e+01,2.999999999999999889e-02,9.999999999999999547e-08,3.999999999999993605e+01,1.131550522191761760e+06,3.279772627241362565e-02,6.679922617871796031e-02,6.008952433251209557e+06,1.553802600324284285e+05,1.970799770897269773e+05,1.451470247050769394e+06,1.706508902836626294e+04,3.971627617222824600e+06,5.096119236680038739e+03,8.573815423604084936e+04,3.196158079997472590e-01,8.614714116554760270e-01,8.614714116554760270e-01,8.060848244764886594e-01,1.562949778217203878e-01,3.762019770179095279e-02,3.746517147713533946e-01,1.127019338942409910e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,3.632027761158231272e+01,1.320934874419686093e+04,9.881662176351238003e-01
