# dt (s),ls (dB),QBERI,Pec,maxElev (deg),SKL (b),QBER,phiX,nX,nZ,mX,lambdaEC,sX0,sX1,vZ1,sZ1,mean photon no.,PxA,PxB,P1,P2,P3,mu1,mu2,mu3,eps_c,eps_s,Pap,NoPass,fs (Hz),minElev (deg),shiftElev (deg),SysLoss (dB)
2.000000000000000000e+02,0.000000000000000000e+00,2.000000000000000042e-02,4.999999999999999774e-08,9.000000000000000000e+01,8.073926819993460178e+07,2.482685602196677693e-02,4.044557384364473596e-02,3.276119041916041374e+08,2.465018612256446853e+06,8.133573576447329484e+06,6.374806484692188352e+07,6.796365737117242134e+03,1.911959760754896700e+08,5.328954889528895728e+04,1.366637065256886650e+06,4.665821658867982391e-01,9.201814661684978303e-01,9.201814661684978303e-01,8.937516081022884862e-01,8.276864396075246655e-02,2.347974793695904727e-02,5.127882258739059340e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-02,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.015453748339971440e+01
2.100000000000000000e+02,0.000000000000000000e+00,2.000000000000000042e-02,4.999999999999999774e-08,9.000000000000000000e+01,8.153077199233341217e+07,2.482785606181905219e-02,4.041571813085326204e-02,3.307640566998596787e+08,2.478722240276195109e+06,8.212162390167471953e+06,6.436345553134629130e+07,7.242981533979576852e+03,1.930223300281412303e+08,5.355297434642072039e+04,1.374282370919680689e+06,4.666931835251443839e-01,9.203294025602990480e-01,9.203294025602990480e-01,8.938809386353814279e-01,8.269931482137063417e-02,2.341974654324793792e-02,5.128459867852719345e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-02,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.015453748339971440e+01
2.200000000000000000e+02,0.000000000000000000e+00,2.000000000000000042e-02,4.999999999999999774e-08,9.000000000000000000e+01,8.238837252175888419e+07,2.483257583940874647e-02,4.707273340795294775e-02,3.114938926151158214e+08,9.037346009256035322e+05,7.735195711877508089e+06,6.062270075096983463e+07,6.868421738018426367e+03,1.969296023317556381e+08,2.244205801618285113e+04,5.042949870815857430e+05,4.101366586865027863e-01,9.488893661584056893e-01,9.488893661584056893e-01,9.342337304233486739e-01,5.329157443370363678e-02,1.247469514294768933e-02,4.333043092542736563e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-02,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.015453748339971440e+01
2.000000000000000000e+02,2.000000000000000000e+00,2.000000000000000042e-02,4.999999999999999774e-08,9.000000000000000000e+01,4.865356315928611159e+07,2.484200397685529943e-02,4.178633495829249533e-02,1.997554786562275290e+08,1.886704165980783058e+06,4.962326395176637918e+06,3.888782482382482290e+07,6.945496641294048459e+03,1.167788515998665988e+08,4.183975047827939125e+04,1.043520983662568615e+06,4.593135600521774387e-01,9.114227079209749061e-01,9.114227079209749061e-01,8.813625616568347976e-01,9.204398826200417549e-02,2.659345008116102693e-02,5.106969376823047302e-01,1.000000000000002415e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-02,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.215453748339971440e+01
2.100000000000000000e+02,2.000000000000000000e+00,2.000000000000000042e-02,4.999999999999999774e-08,9.000000000000000000e+01,0.000000000000000000e+00,2.483168251160965123e-02,6.434048961117327936e-02,4.168035803623487800e+07,1.437224513988600671e+08,1.034993417726002401e+06,8.111570366781240329e+06,1.051044975025202120e+03,1.116725757754339464e+07,2.492395714701446705e+06,3.916398354147741199e+07,6.444416608932346247e-01,3.500255242770128894e-01,3.500255242770128894e-01,7.038177212755656331e-01,4.867294156551209977e-02,2.475093371589222602e-01,8.820584921627843134e-01,4.855523859319816893e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-02,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.215453748339971440e+01
2.200000000000000000e+02,2.000000000000000000e+00,2.000000000000000042e-02,4.999999999999999774e-08,9.000000000000000000e+01,5.040830748910387605e+07,2.485094376826787674e-02,4.791991707209408008e-02,1.920047051895875037e+08,7.159289779487897176e+05,4.771498131909290329e+06,3.738946844323793799e+07,7.189053073167475304e+03,1.215088638155436367e+08,1.779151077307886953e+04,3.954422383900353452e+05,4.059546167940237815e-01,9.424509958822308020e-01,9.424509958822308020e-01,9.286358087223349767e-01,5.723321999102480573e-02,1.413097128664021762e-02,4.309884359785567387e-01,1.000000000000002415e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-02,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.215453748339971440e+01
2.000000000000000000e+02,4.000000000000000000e+00,2.000000000000000042e-02,4.999999999999999774e-08,9.000000000000000000e+01,2.914546854735379666e+07,2.486666338671042475e-02,4.330024316792682043e-02,1.211134911030240357e+08,1.422880952417123597e+06,3.011688414848246612e+06,2.359636870374927297e+07,7.065334713989742340e+03,7.099724140070019662e+07,3.245807268782484243e+04,7.856503787324426230e+05,4.502424028981653614e-01,9.022097538356822488e-01,9.022097538356822488e-01,8.669852214030713267e-01,1.030967646716825226e-01,2.991801392524615077e-02,5.069497200184940322e-01,1.040235130739457503e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-02,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.415453748339971440e+01
2.100000000000000000e+02,4.000000000000000000e+00,2.000000000000000042e-02,4.999999999999999774e-08,9.000000000000000000e+01,2.943548591553925350e+07,2.486925310874426795e-02,4.330021993743515818e-02,1.222468290468275845e+08,1.437661601776307449e+06,3.040187333306945860e+06,2.381911920169550180e+07,7.502566449400511374e+03,7.168698282661625743e+07,3.281257594633160625e+04,7.940289151587482775e+05,4.504231025163504265e-01,9.021647438546219755e-01,9.021647438546219755e-01,8.684438978587272207e-01,1.017724773198395993e-01,2.978362482143318002e-02,5.064900370200969837e-01,1.038092106847714191e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-02,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.415453748339971440e+01
2.200000000000000000e+02,4.000000000000000000e+00,2.000000000000000042e-02,4.999999999999999774e-08,9.000000000000000000e+01,0.000000000000000000e+00,2.483632514607906835e-02,9.138111917185279265e-02,2.199591714297637045e+08,7.421202271190806292e+06,5.462977500491756946e+06,4.281334968489756435e+07,2.173032134035094259e+03,5.760866548265025020e+07,1.468607227859483683e+05,1.642136295027647866e+06,9.175731995721696510e-01,8.448216493915263747e-01,8.448216493915263747e-01,9.826214968616002743e-01,8.248106799696321156e-03,9.130396338703404557e-03,9.302270755466766072e-01,4.258041587718871535e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-02,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.415453748339971440e+01
2.000000000000000000e+02,6.000000000000000000e+00,2.000000000000000042e-02,4.999999999999999774e-08,9.000000000000000000e+01,1.828261946441053972e+07,2.491792064666073503e-02,5.002735869100403965e-02,7.145925708111557364e+07,4.324376092977838125e+05,1.780616097416567151e+06,1.394478917089390755e+07,6.836660471884822982e+03,4.515966783530310541e+07,1.077544603311385436e+04,2.335321293299722893e+05,3.979496002364021900e-01,9.278231869306886592e-01,9.278231869306886592e-01,9.078360877670390572e-01,7.341894426862070888e-02,1.874496796434023393e-02,4.302623690255574784e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-02,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.615453748339971440e+01
