# dt (s),ls (dB),QBERI,Pec,maxElev (deg),SKL (b),QBER,phiX,nX,nZ,mX,lambdaEC,sX0,sX1,vZ1,sZ1,mean photon no.,PxA,PxB,P1,P2,P3,mu1,mu2,mu3,eps_c,eps_s,Pap,NoPass,fs (Hz),minElev (deg),shiftElev (deg),SysLoss (dB),sigma2,T_turb
2.200000000000000000e+02,0.000000000000000000e+00,5.000000000000000104e-03,1.000000000000000021e-08,9.000000000000000000e+01,1.876612430254788399e+08,5.498764211388220031e-03,1.772471221828308963e-02,5.409855443552253246e+08,7.035740522656704998e+05,2.974751950178887695e+06,3.086799488123595342e+07,1.000000000000000036e-10,2.507416247420113981e+08,3.868787818659855475e+03,2.497743166059253272e+05,6.946826465295643516e-01,9.651922537169187466e-01,9.651922537169187466e-01,9.617861680340259456e-01,2.808327475120058619e-02,1.013055721477346821e-02,7.193639730426725221e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.021289338449472694e+01,5.411860103907044959e+02,9.866529299323076874e-01
2.200000000000000000e+02,1.428571428571428603e+00,5.000000000000000104e-03,1.000000000000000021e-08,9.000000000000000000e+01,1.331512829144646227e+08,5.500250766832641587e-03,1.819031571969045510e-02,3.850789688607432246e+08,6.024179323737793602e+05,2.118030893767425790e+06,2.197712946555215120e+07,1.000000000000000036e-10,1.785459380559363961e+08,3.313449694492614071e+03,2.106184372229470173e+05,6.912905053944008449e-01,9.619523695918349437e-01,9.619523695918349437e-01,9.589718362603102397e-01,3.012142809086268760e-02,1.090673564882707267e-02,7.177253143005581926e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.164146481306615399e+01,5.411860103907044959e+02,9.866529299323076874e-01
2.200000000000000000e+02,2.857142857142857206e+00,5.000000000000000104e-03,1.000000000000000021e-08,9.000000000000000000e+01,9.435169466509638727e+07,5.502333812963583481e-03,1.867603237672664160e-02,2.737985939899578691e+08,5.067045036502079456e+05,1.506531261652833084e+06,1.563112469941197336e+07,1.000000000000000036e-10,1.269925748802628964e+08,2.788057323615469613e+03,1.747714653248160612e+05,6.872232814982900395e-01,9.587551721548451811e-01,9.587551721548451811e-01,9.547740374540663044e-01,3.290268697698184308e-02,1.232327556895185250e-02,7.163297135983293096e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.307003624163758460e+01,5.411860103907044959e+02,9.866529299323076874e-01
2.200000000000000000e+02,4.285714285714285587e+00,5.000000000000000104e-03,1.000000000000000021e-08,9.000000000000000000e+01,6.675916766291478276e+07,5.505285766707150412e-03,1.914083349563186487e-02,1.936534215526778400e+08,4.300602188044145005e+05,1.066117425348096993e+06,1.106061932157577388e+07,1.000000000000000036e-10,9.013093988109968603e+07,2.367604401410905666e+03,1.466575309470292705e+05,6.804876327511004686e-01,9.549957540832400005e-01,9.549957540832400005e-01,9.505462492371030692e-01,3.606321905313410181e-02,1.339053170976282903e-02,7.120971876844959247e-01,1.000000000000002415e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.449860767020901164e+01,5.411860103907044959e+02,9.866529299323076874e-01
2.200000000000000000e+02,5.714285714285714413e+00,5.000000000000000104e-03,1.000000000000000021e-08,9.000000000000000000e+01,4.715526184463589638e+07,5.509349414142313515e-03,1.978331131881658211e-02,1.375870400092506409e+08,3.677993108303210465e+05,7.580150782685400918e+05,7.863219710591657087e+06,1.000000000000000036e-10,6.399180792385855317e+07,2.026334917644976485e+03,1.230207482443335321e+05,6.775126897406990034e-01,9.508386803307565804e-01,9.508386803307565804e-01,9.469070884564471102e-01,3.852389326274135301e-02,1.456901828081153677e-02,7.114323132933330074e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.592717909878044225e+01,5.411860103907044959e+02,9.866529299323076874e-01
2.200000000000000000e+02,7.142857142857143238e+00,5.000000000000000104e-03,1.000000000000000021e-08,9.000000000000000000e+01,3.324444398562349752e+07,5.515072749320837353e-03,2.039850102403014537e-02,9.746998308954706788e+07,3.103089154255642788e+05,5.375540476139239036e+05,5.575345014032929204e+06,1.000000000000000036e-10,4.533316063881275803e+07,1.711376243334834044e+03,1.022921331160778063e+05,6.727943553824879963e-01,9.465898817786000397e-01,9.465898817786000397e-01,9.411244966484906271e-01,4.254298988514480101e-02,1.633251346636457185e-02,7.103630378071784657e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.735575052735186929e+01,5.411860103907044959e+02,9.866529299323076874e-01
2.200000000000000000e+02,8.571428571428571175e+00,5.000000000000000104e-03,1.000000000000000021e-08,9.000000000000000000e+01,2.338570592627054453e+07,5.523073086380201474e-03,2.107344472268409333e-02,6.898472815833215415e+07,2.634072515253835591e+05,3.810076954625387443e+05,3.950767615568153560e+06,1.193831059668855277e+00,3.206375864345930144e+07,1.454817501657226330e+03,8.548687113181249879e+04,6.682933527378408511e-01,9.418033967222707581e-01,9.418033967222707581e-01,9.350322705119555877e-01,4.673964157768353833e-02,1.822808791036087395e-02,7.097288612474549341e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.878432195592329634e+01,5.411860103907044959e+02,9.866529299323076874e-01
2.200000000000000000e+02,1.000000000000000000e+01,5.000000000000000104e-03,1.000000000000000021e-08,9.000000000000000000e+01,1.640949398976607993e+07,5.534326091852889880e-03,2.178161665993580409e-02,4.865881152109895647e+07,2.259372829373833374e+05,2.692937301997699542e+05,2.791456704265048727e+06,9.742787595816668045e+01,2.262494869039518759e+07,1.250410600082709607e+03,7.219210846138752822e+04,6.627728215908912368e-01,9.362053415026618808e-01,9.362053415026618808e-01,9.291727296406399050e-01,5.081613549662246376e-02,2.001113486273763120e-02,7.078244841468741555e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,3.021289338449472694e+01,5.411860103907044959e+02,9.866529299323076874e-01
2.200000000000000000e+02,1.142857142857142883e+01,5.000000000000000104e-03,1.000000000000000021e-08,9.000000000000000000e+01,1.148125409107430652e+07,5.550077317586582515e-03,2.267907846659848042e-02,3.432629318480191380e+07,1.909717815456814715e+05,1.905135812017959834e+05,1.973925345831674291e+06,2.010574433247842592e+02,1.594655716155059077e+07,1.059908153055786670e+03,5.983689139048314973e+04,6.574667649845437056e-01,9.305888870550486081e-01,9.305888870550486081e-01,9.221034363476445783e-01,5.564816072067269026e-02,2.224840293168273142e-02,7.069726922335221042e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,3.164146481306615755e+01,5.411860103907044959e+02,9.866529299323076874e-01
2.000000000000000000e+02,1.285714285714285765e+01,5.000000000000000104e-03,1.000000000000000021e-08,9.000000000000000000e+01,7.863238427995818667e+06,5.566540626020713596e-03,2.361721304934488730e-02,2.366921635166772828e+07,1.620154122684548493e+05,1.317556544076321879e+05,1.364475190979478648e+06,1.633490507625986083e+02,1.100244268855999410e+07,9.018653744338483875e+02,4.981773327871537185e+04,6.502766131837287578e-01,9.235875222476944701e-01,9.235875222476944701e-01,9.146601033433460204e-01,6.096014796326437724e-02,2.437974869338960238e-02,7.042841335625514843e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,3.307003624163758104e+01,5.411860103907044959e+02,9.866529299323076874e-01
