# dt (s),ls (dB),QBERI,Pec,maxElev (deg),SKL (b),QBER,phiX,nX,nZ,mX,lambdaEC,sX0,sX1,vZ1,sZ1,mean photon no.,PxA,PxB,P1,P2,P3,mu1,mu2,mu3,eps_c,eps_s,Pap,NoPass,fs (Hz),minElev (deg),shiftElev (deg),SysLoss (dB),sigma2,T_turb
2.000000000000000000e+02,0.000000000000000000e+00,4.000000000000000083e-02,4.999999999999999774e-07,9.000000000000000000e+01,4.003929636585251987e+07,4.080393113581325809e-02,5.737117403166838714e-02,2.201790623395069242e+08,2.369101420163288713e+06,8.984171297249175608e+06,6.282164387854017317e+07,1.061628699237393012e+05,1.504289538306713700e+08,8.657269484092228231e+04,1.552494210379369091e+06,3.257053393170394884e-01,9.060187919601673245e-01,9.060187919601673245e-01,8.550013116184028705e-01,1.208628191882453323e-01,2.413586919335179715e-02,3.668053523854555298e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.021289338449472694e+01,5.411860103907044959e+02,9.866529299323076874e-01
2.100000000000000000e+02,0.000000000000000000e+00,4.000000000000000083e-02,4.999999999999999774e-07,9.000000000000000000e+01,0.000000000000000000e+00,4.091133410514502522e-02,5.000000000000000000e-01,2.130031171861084402e+08,2.906629021626796657e+03,8.714241692638240755e+06,6.089502529686001688e+07,1.569391275638551451e+05,1.418017492459382117e+08,1.189140710234846807e+02,1.000000000000000036e-10,2.581323981413351509e-01,9.963195537715388017e-01,9.963195537715388017e-01,6.468875039471707611e-01,1.759922084353975347e-01,1.771202876174317042e-01,3.183680413922432839e-01,2.965136409871966805e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.021289338449472694e+01,5.411860103907044959e+02,9.866529299323076874e-01
2.200000000000000000e+02,0.000000000000000000e+00,4.000000000000000083e-02,4.999999999999999774e-07,9.000000000000000000e+01,4.072665870123709738e+07,4.083123875792769863e-02,5.738281490435690607e-02,2.242902938396334946e+08,2.417509046577927191e+06,9.158050538851834834e+06,6.402702247275704145e+07,1.173542146877222694e+05,1.531940038947822154e+08,8.835632707080719410e+04,1.583695449228316313e+06,3.262976863413848405e-01,9.059452435475885412e-01,9.059452435475885412e-01,8.572541198233498694e-01,1.186300183802199426e-01,2.411586179643018801e-02,3.667928531718889218e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.021289338449472694e+01,5.411860103907044959e+02,9.866529299323076874e-01
2.000000000000000000e+02,1.428571428571428603e+00,4.000000000000000083e-02,4.999999999999999774e-07,9.000000000000000000e+01,2.750952831590477750e+07,4.094368163007997691e-02,5.845407029132140136e-02,1.537967617841661274e+08,1.983787280496238498e+06,6.297005650228149258e+06,4.399490213366995752e+07,1.052455017690569366e+05,1.051967847334176749e+08,7.355658367810056370e+04,1.297830859549442772e+06,3.215855525771578738e-01,8.980105196161264347e-01,8.980105196161264347e-01,8.458089784697803148e-01,1.277269970139701671e-01,2.646402451624951802e-02,3.651094522955508070e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.164146481306615399e+01,5.411860103907044959e+02,9.866529299323076874e-01
2.100000000000000000e+02,1.428571428571428603e+00,4.000000000000000083e-02,4.999999999999999774e-07,9.000000000000000000e+01,0.000000000000000000e+00,4.067534339235680946e-02,9.904208034958315865e-02,4.541969294563780725e+07,2.093683489767497778e+08,1.847461607339223847e+06,1.292830254954410344e+07,8.753697335054184805e+03,1.277586692052495107e+07,5.855785518118623644e+06,5.958728495570264012e+07,7.529644653934528531e-01,3.177622635815091079e-01,3.177622635815091079e-01,7.662266067566121386e-01,1.453805547029972112e-01,8.839283854039065025e-02,8.946084235172613308e-01,4.642415129301206145e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.164146481306615399e+01,5.411860103907044959e+02,9.866529299323076874e-01
2.200000000000000000e+02,1.428571428571428603e+00,4.000000000000000083e-02,4.999999999999999774e-07,9.000000000000000000e+01,2.796921262768894061e+07,4.098241958462076756e-02,5.845335986455685306e-02,1.566658237111766040e+08,2.011770768347377423e+06,6.420544521901668981e+06,4.484764829924793541e+07,1.164382704957062670e+05,1.071135213702464253e+08,7.458318361990331323e+04,1.315674905983921839e+06,3.219593033338064014e-01,8.982152871566057017e-01,8.982152871566057017e-01,8.462443646590727120e-01,1.272403678019223550e-01,2.651526753900493305e-02,3.654207690685137844e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.164146481306615399e+01,5.411860103907044959e+02,9.866529299323076874e-01
2.000000000000000000e+02,2.857142857142857206e+00,4.000000000000000083e-02,4.999999999999999774e-07,9.000000000000000000e+01,1.877411913592626899e+07,4.114199477451803422e-02,5.963677620991474776e-02,1.070504598271959126e+08,1.646724618004254298e+06,4.404269458820247091e+06,3.073467304765843973e+07,1.043816463831844885e+05,7.330084157520093024e+07,6.201443247130698728e+04,1.075494532851810567e+06,3.166842093234412681e-01,8.896583486853596456e-01,8.896583486853596456e-01,8.326700807642526403e-01,1.379500513613353407e-01,2.937986787441201897e-02,3.637565599922910620e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.307003624163758460e+01,5.411860103907044959e+02,9.866529299323076874e-01
2.100000000000000000e+02,2.857142857142857206e+00,4.000000000000000083e-02,4.999999999999999774e-07,9.000000000000000000e+01,0.000000000000000000e+00,4.087962080210293114e-02,8.190857505580699527e-02,1.319406311937395185e+08,1.373116346167355031e+07,5.393682971590184607e+06,3.769814433392913640e+07,7.201819763266143855e+04,4.954399580255629867e+07,4.044102299047397100e+05,5.003814584013207816e+06,5.362038651234406483e-01,7.560864848893774637e-01,7.560864848893774637e-01,6.879521743770623532e-01,4.212797595807080131e-02,2.699198496648668177e-01,7.573528739699351142e-01,3.603616921975120180e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.307003624163758460e+01,5.411860103907044959e+02,9.866529299323076874e-01
2.200000000000000000e+02,2.857142857142857206e+00,4.000000000000000083e-02,4.999999999999999774e-07,9.000000000000000000e+01,1.907496449786800146e+07,4.119622936274518893e-02,5.964180791733253439e-02,1.090261061063357294e+08,1.681192415368067799e+06,4.491464473683600314e+06,3.133304147786236182e+07,1.153049507890710956e+05,7.462099920839083195e+07,6.332077931833905313e+04,1.097670205099911429e+06,3.172099761557640174e-01,8.895391168980754104e-01,8.895391168980754104e-01,8.339398708542762328e-01,1.367847688897969871e-01,2.927536025592678004e-02,3.639728832677719406e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.307003624163758460e+01,5.411860103907044959e+02,9.866529299323076874e-01
2.000000000000000000e+02,4.285714285714285587e+00,4.000000000000000083e-02,4.999999999999999774e-07,9.000000000000000000e+01,0.000000000000000000e+00,4.095553272450101756e-02,9.375325865380701451e-02,1.703133753082509935e+08,3.520886876571634784e+05,6.975275015857296996e+06,4.873027554639399052e+07,9.794821743586679804e+04,7.220320272182962298e+07,1.151379884018788289e+04,1.325805423178612837e+05,6.060443520236783455e-01,9.565098309391122378e-01,9.565098309391122378e-01,7.312116500598354607e-01,1.940886279466119413e-01,7.469972199355259801e-02,7.639157167371668500e-01,2.445289081785236851e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.449860767020901164e+01,5.411860103907044959e+02,9.866529299323076874e-01
