# dt (s),ls (dB),QBERI,Pec,maxElev (deg),SKL (b),QBER,phiX,nX,nZ,mX,lambdaEC,sX0,sX1,vZ1,sZ1,mean photon no.,PxA,PxB,P1,P2,P3,mu1,mu2,mu3,eps_c,eps_s,Pap,NoPass,fs (Hz),minElev (deg),shiftElev (deg),SysLoss (dB)
2.200000000000000000e+02,0.000000000000000000e+00,5.000000000000000104e-03,1.000000000000000021e-08,9.000000000000000000e+01,1.874898092299625874e+08,5.498804854491426766e-03,1.766082927688618354e-02,5.354892975354772806e+08,6.856216060345617589e+05,2.944551148816286586e+06,3.055457485668106377e+07,1.000000000000000036e-10,2.500790762462973595e+08,3.770099415607057381e+03,2.446951959572023770e+05,6.878263404667984693e-01,9.654539487436144540e-01,9.654539487436144540e-01,9.615212254880520781e-01,2.831031161900614615e-02,1.016846289294177572e-02,7.124078919393648235e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.015453748339971440e+01
2.200000000000000000e+02,1.428571428571428603e+00,5.000000000000000104e-03,1.000000000000000021e-08,9.000000000000000000e+01,1.330322452359508723e+08,5.500277025391541764e-03,1.815643216106721178e-02,3.833099407986804843e+08,5.935398114663733868e+05,2.108310860979174264e+06,2.187625549106033146e+07,1.000000000000000036e-10,1.782528196035563052e+08,3.264633388663720780e+03,2.081177841779479932e+05,6.884334962749513176e-01,9.621393670093171258e-01,9.621393670093171258e-01,9.586009220571259926e-01,3.023581294524843935e-02,1.116326499762556809e-02,7.150106986226962835e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.158310891197114145e+01
2.200000000000000000e+02,2.857142857142857206e+00,5.000000000000000104e-03,1.000000000000000021e-08,9.000000000000000000e+01,9.426690455732956529e+07,5.502362697810759054e-03,1.868229906282446381e-02,2.727052046698805690e+08,5.055113117360841716e+05,1.500522945674399147e+06,1.556877176101440191e+07,1.000000000000000036e-10,1.268279202525816709e+08,2.781506585018015357e+03,1.743329553778267000e+05,6.851107965431697533e-01,9.587226585968786630e-01,9.587226585968786630e-01,9.552567892219184786e-01,3.271656325429181389e-02,1.202664752378970747e-02,7.137757594720853804e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.301168034054257205e+01
2.200000000000000000e+02,4.285714285714285587e+00,5.000000000000000104e-03,1.000000000000000021e-08,9.000000000000000000e+01,6.669846575233423710e+07,5.505275040878715789e-03,1.922653956776882583e-02,1.938973414599373639e+08,4.285480018010472413e+05,1.067458194432131015e+06,1.107453285201694258e+07,1.000000000000000036e-10,9.012753014730237424e+07,2.359274618133752483e+03,1.455303800626838638e+05,6.817851239181833556e-01,9.550983890575232005e-01,9.550983890575232005e-01,9.509150401080809223e-01,3.575947252445919877e-02,1.332548736745987894e-02,7.132174253849767886e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.444025176911399910e+01
2.200000000000000000e+02,5.714285714285714413e+00,5.000000000000000104e-03,1.000000000000000021e-08,9.000000000000000000e+01,4.711250814638276398e+07,5.509377221268096057e-03,1.972504166257673178e-02,1.373691340995063186e+08,3.645950607415022096e+05,7.568183783131425735e+05,7.850799411778658628e+06,1.000000000000000036e-10,6.390323989384580404e+07,2.008691722636089708e+03,1.224023871488816367e+05,6.767837551323259149e-01,9.510058745631434496e-01,9.510058745631434496e-01,9.457401760317240003e-01,3.935100593928970297e-02,1.490881802898629677e-02,7.114519099332698993e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.586882319768542970e+01
2.200000000000000000e+02,7.142857142857143238e+00,5.000000000000000104e-03,1.000000000000000021e-08,9.000000000000000000e+01,3.321386705577297136e+07,5.515083612192487293e-03,2.038808523387920443e-02,9.741802830872234702e+07,3.100971141017657355e+05,5.372685714575384045e+05,5.572382367371169850e+06,1.000000000000000036e-10,4.529091660902533680e+07,1.710211512170831611e+03,1.022812611516611651e+05,6.730095052229460029e-01,9.465936635334706306e-01,9.465936635334706306e-01,9.409183490906743996e-01,4.259330727682276302e-02,1.648834363250283735e-02,7.107419842981695934e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.729739462625685675e+01
2.200000000000000000e+02,8.571428571428571175e+00,5.000000000000000104e-03,1.000000000000000021e-08,9.000000000000000000e+01,2.336389245067427307e+07,5.523029942157376901e-03,2.111081702096021667e-02,6.909110691897012293e+07,2.638018391375044594e+05,3.815922522502687061e+05,3.956834038907575887e+06,1.000000000000000036e-10,3.205306886658804119e+07,1.456985456352621441e+03,8.544988707980552863e+04,6.698992836583755883e-01,9.418046020359560622e-01,9.418046020359560622e-01,9.348349426956764630e-01,4.713985782260365909e-02,1.802519948171987796e-02,7.115537379871537116e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.872596605482828380e+01
2.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000104e-03,1.000000000000000021e-08,9.000000000000000000e+01,1.610296063499540091e+07,5.531389288337551155e-03,2.189061385386588399e-02,4.779906251825184375e+07,2.232262624859783391e+05,2.643952224060351728e+05,2.740915051810046192e+06,1.000000000000000036e-10,2.221997057939046249e+07,1.234751357190567205e+03,7.102675955875449290e+04,6.629026667001616246e-01,9.360332576088136181e-01,9.360332576088136181e-01,9.292251882095121651e-01,5.082771603551200501e-02,1.994709575497582987e-02,7.079230131117495439e-01,1.000000000000002137e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,3.015453748339971440e+01
2.200000000000000000e+02,1.142857142857142883e+01,5.000000000000000104e-03,1.000000000000000021e-08,9.000000000000000000e+01,1.147046370599225536e+07,5.550182928316588389e-03,2.263225930824546220e-02,3.425284036298073083e+07,1.911849462473723106e+05,1.901095298289690400e+05,1.969732868741040584e+06,2.015765412300519586e+02,1.592400079546437971e+07,1.061111424813290569e+03,6.002144614785491285e+04,6.567736092303497752e-01,9.304835998700359267e-01,9.304835998700359267e-01,9.219418993987706923e-01,5.579581509545115947e-02,2.226228550577814824e-02,7.063287048191106976e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,3.158310891197114501e+01
2.200000000000000000e+02,1.285714285714285765e+01,5.000000000000000104e-03,1.000000000000000021e-08,9.000000000000000000e+01,7.998734449837670662e+06,5.572371928449012558e-03,2.361864121190126661e-02,2.410117577040708065e+07,1.620376663173387642e+05,1.343007153056319221e+05,1.390596124634397682e+06,2.848147655942173628e+02,1.119509837137658149e+07,9.029341431381265011e+02,4.986623332938411477e+04,6.507953677922412306e-01,9.242184459679202435e-01,9.242184459679202435e-01,9.140956460246845161e-01,6.142915223596369378e-02,2.447520173935179011e-02,7.052352293462696986e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,3.301168034054256850e+01
