# dt (s),ls (dB),QBERI,Pec,maxElev (deg),SKL (b),QBER,phiX,nX,nZ,mX,lambdaEC,sX0,sX1,vZ1,sZ1,mean photon no.,PxA,PxB,P1,P2,P3,mu1,mu2,mu3,eps_c,eps_s,Pap,NoPass,fs (Hz),minElev (deg),shiftElev (deg),SysLoss (dB)
2.000000000000000000e+02,0.000000000000000000e+00,2.999999999999999889e-02,5.000000000000000409e-06,9.000000000000000000e+01,5.597596825337955356e+07,3.321316514105508017e-02,5.048721334115779946e-02,2.836425819177772403e+08,2.869245791003230494e+06,9.420667914270378649e+06,6.918028792956793308e+07,1.065661368313619401e+06,1.743983140274723470e+08,8.214231333777031978e+04,1.675327757723197341e+06,4.155534142847894241e-01,9.086143982006379405e-01,9.086143982006379405e-01,8.825662250344527004e-01,9.179263215474028903e-02,2.564114281080701052e-02,4.604460714021225143e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.015453748339971440e+01
2.100000000000000000e+02,0.000000000000000000e+00,2.999999999999999889e-02,5.000000000000000409e-06,9.000000000000000000e+01,5.624712299635660648e+07,3.332148530518190543e-02,5.060292940807258055e-02,2.863600224646975994e+08,2.909566502738452051e+06,9.541941280548982322e+06,7.001797443639045954e+07,1.118877856031415286e+06,1.760030151687031686e+08,8.348337090776635159e+04,1.698377488404415082e+06,4.158422376482829863e-01,9.084307271040554799e-01,9.084307271040554799e-01,8.828678543815074997e-01,9.160267032079678906e-02,2.552947529769571122e-02,4.606374199693838989e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.015453748339971440e+01
2.200000000000000000e+02,0.000000000000000000e+00,2.999999999999999889e-02,5.000000000000000409e-06,9.000000000000000000e+01,5.643904889825716615e+07,3.342976817971830134e-02,5.073145200962454054e-02,2.888796431873643994e+08,2.947251603951018769e+06,9.657179503593331203e+06,7.081025391998995841e+07,1.171990309763344703e+06,1.774480839297746718e+08,8.475209966241801158e+04,1.719438003152017947e+06,4.163056436468526855e-01,9.082596950882021458e-01,9.082596950882021458e-01,8.832832369362655367e-01,9.114776335230467819e-02,2.556899971142978512e-02,4.609969376572733424e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.015453748339971440e+01
2.000000000000000000e+02,1.428571428571428603e+00,2.999999999999999889e-02,5.000000000000000409e-06,9.000000000000000000e+01,3.689218708201178163e+07,3.430422474274207739e-02,5.281906024312094106e-02,1.984857698222739697e+08,2.525967332396966405e+06,6.808900456219458953e+06,4.962621393128075451e+07,1.048122332631323603e+06,1.217968855729634017e+08,7.519484042322928144e+04,1.467894316247603623e+06,4.119621458596607888e-01,8.986256699319792318e-01,8.986256699319792318e-01,8.738039284896557124e-01,9.780646640261533853e-02,2.838960510772894907e-02,4.602651534361467678e-01,1.000000000000001998e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.158310891197114145e+01
2.100000000000000000e+02,1.428571428571428603e+00,2.999999999999999889e-02,5.000000000000000409e-06,9.000000000000000000e+01,3.699031613605467230e+07,3.445106646405746847e-02,5.299369551071588663e-02,2.005395666593726277e+08,2.572075737760720309e+06,6.908801939655330032e+06,5.030408370392595977e+07,1.099581106287915260e+06,1.229567186904678792e+08,7.678864711162596359e+04,1.493582572211571503e+06,4.126885421368962636e-01,8.982700649417332261e-01,8.982700649417332261e-01,8.746367786586894955e-01,9.698159124735912517e-02,2.838163009395137937e-02,4.607517004146240436e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.158310891197114145e+01
2.200000000000000000e+02,1.428571428571428603e+00,2.999999999999999889e-02,5.000000000000000409e-06,9.000000000000000000e+01,3.703341398088724911e+07,3.460780757297586552e-02,5.314518107435891453e-02,2.019595724903777838e+08,2.609081286242775619e+06,6.989378022267464548e+06,5.083673617815889418e+07,1.152137785196735058e+06,1.238142815155079812e+08,7.814457861432102800e+04,1.515217195330315037e+06,4.125507355714842506e-01,8.979392956626771616e-01,8.979392956626771616e-01,8.746050616372238462e-01,9.678562428373224669e-02,2.860931407904390711e-02,4.606332512973927429e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.158310891197114145e+01
2.000000000000000000e+02,2.857142857142857206e+00,2.999999999999999889e-02,5.000000000000000409e-06,9.000000000000000000e+01,2.364129708930801973e+07,3.581369390951137655e-02,5.567674300840588786e-02,1.383971098590126038e+08,2.297606048439577222e+06,4.956511730451696552e+06,3.576160094957066327e+07,1.023162200821087346e+06,8.461341522027881444e+07,7.161955049355760275e+04,1.327372632719198707e+06,4.092685214002482752e-01,8.858596516249220842e-01,8.858596516249220842e-01,8.658362411400361003e-01,1.025766301657521223e-01,3.158712869421177738e-02,4.607758964244809685e-01,1.005302203385114029e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.301168034054257205e+01
2.100000000000000000e+02,2.857142857142857206e+00,2.999999999999999889e-02,5.000000000000000409e-06,9.000000000000000000e+01,2.362447625641483441e+07,3.602667456661966944e-02,5.591679154799633622e-02,1.396036886860429943e+08,2.336072570856187493e+06,5.029456660591755062e+06,3.623707924061331898e+07,1.073963993004355114e+06,8.532568806687505543e+07,7.314835910443097237e+04,1.349434126598171191e+06,4.093175392786499445e-01,8.854584851947420177e-01,8.854584851947420177e-01,8.659503329928159854e-01,1.024976386421305036e-01,3.155202836505351105e-02,4.607865723904707167e-01,1.004828366286883712e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.301168034054257205e+01
2.200000000000000000e+02,2.857142857142857206e+00,2.999999999999999889e-02,5.000000000000000409e-06,9.000000000000000000e+01,2.357003000693186000e+07,3.623912766293360677e-02,5.612333982763824392e-02,1.406563083301368654e+08,2.382077812061357312e+06,5.097261914172781631e+06,3.667452846551800519e+07,1.124037021813002648e+06,8.591385699136546254e+07,7.486834837914895616e+04,1.375581204121856019e+06,4.095810839622183175e-01,8.848490433672313582e-01,8.848490433672313582e-01,8.659481130797579418e-01,1.023494591701285400e-01,3.170242775011351821e-02,4.611057749567848418e-01,1.005125800529238222e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.301168034054257205e+01
2.000000000000000000e+02,4.285714285714285587e+00,2.999999999999999889e-02,5.000000000000000409e-06,9.000000000000000000e+01,1.451918458980346657e+07,3.792551024258761228e-02,5.930123893615864283e-02,9.578588476249784231e+07,2.119458607629660517e+06,3.632728553655428346e+06,2.585551036940319091e+07,9.928378408838475589e+05,5.831491606051457673e+07,6.995021225274816970e+04,1.217685509448633296e+06,4.056519566315421876e-01,8.705101957817771297e-01,8.705101957817771297e-01,8.564881256007714772e-01,1.089694303097581557e-01,3.454244408947036715e-02,4.603128514746229749e-01,1.046115892291238636e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.444025176911399910e+01
