# dt (s),ls (dB),QBERI,Pec,maxElev (deg),SKL (b),QBER,phiX,nX,nZ,mX,lambdaEC,sX0,sX1,vZ1,sZ1,mean photon no.,PxA,PxB,P1,P2,P3,mu1,mu2,mu3,eps_c,eps_s,Pap,NoPass,fs (Hz),minElev (deg),shiftElev (deg),SysLoss (dB)
2.200000000000000000e+02,0.000000000000000000e+00,5.000000000000000104e-03,1.000000000000000021e-08,9.000000000000000000e+01,1.875274414333562851e+08,5.498759567652516771e-03,1.777003408955146746e-02,5.416247010355194807e+08,7.055252783783081686e+05,2.978264006895996630e+06,3.090444252676220983e+07,1.000000000000000036e-10,2.507054118800646961e+08,3.879513874703427064e+03,2.497826422318593250e+05,6.960127168712308965e-01,9.651655567778234524e-01,9.651655567778234524e-01,9.620279045167360321e-01,2.803322487283976122e-02,9.938870610424206664e-03,7.205709846141863384e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.020669905646337128e+01
2.200000000000000000e+02,1.428571428571428603e+00,5.000000000000000104e-03,1.000000000000000021e-08,9.000000000000000000e+01,1.330582388319885284e+08,5.500279440948841955e-03,1.814475273116102419e-02,3.830728113081555367e+08,5.956937666725161253e+05,2.107007508424723055e+06,2.186273009123142436e+07,1.000000000000000036e-10,1.782533740665655136e+08,3.276482177930217404e+03,2.089549766073428327e+05,6.879908032031328835e-01,9.620620426768458078e-01,9.620620426768458078e-01,9.586960818321207389e-01,3.036638757120587243e-02,1.093753059667338864e-02,7.144643411257375343e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.163527048503479833e+01
2.200000000000000000e+02,2.857142857142857206e+00,5.000000000000000104e-03,1.000000000000000021e-08,9.000000000000000000e+01,9.428547391058921814e+07,5.502368602397870838e-03,1.861285362959159972e-02,2.724354014207423329e+08,5.073097802770882263e+05,1.499039998959152959e+06,1.555338265305545181e+07,1.000000000000000036e-10,1.267734672505572736e+08,2.791405406686013521e+03,1.755603248558387859e+05,6.844346557048119895e-01,9.586327081898851077e-01,9.586327081898851077e-01,9.548790943502180051e-01,3.298115140122221539e-02,1.213975424855977953e-02,7.133222882297928225e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.306384191360622893e+01
2.200000000000000000e+02,4.285714285714285587e+00,5.000000000000000104e-03,1.000000000000000021e-08,9.000000000000000000e+01,6.671151455512772501e+07,5.505283136161427324e-03,1.921233819566346007e-02,1.937331681599074900e+08,4.287491307162622106e+05,1.066555943585864734e+06,1.106516965997996554e+07,1.000000000000000036e-10,9.012338668119925261e+07,2.360385358976110183e+03,1.457011591939443024e+05,6.811216515502263036e-01,9.550701560284446945e-01,9.550701560284446945e-01,9.510520362895938939e-01,3.557904250293285331e-02,1.336892120747325274e-02,7.124360407695040642e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.449241334217765598e+01
2.200000000000000000e+02,5.714285714285714413e+00,5.000000000000000104e-03,1.000000000000000021e-08,9.000000000000000000e+01,4.712181620103567094e+07,5.509366234562865575e-03,1.975193458959700540e-02,1.374391896915625334e+08,3.666813236888050451e+05,7.572028309923752677e+05,7.854790037196815945e+06,1.000000000000000036e-10,6.392996352353838831e+07,2.020181703575919528e+03,1.228743954688181839e+05,6.771762175485002144e-01,9.508846827224889386e-01,9.508846827224889386e-01,9.463715046157461508e-01,3.894816470808142722e-02,1.468033067617242199e-02,7.114345664402306202e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.592098477074908658e+01
2.200000000000000000e+02,7.142857142857143238e+00,5.000000000000000104e-03,1.000000000000000021e-08,9.000000000000000000e+01,3.322041345970468596e+07,5.515067596166489672e-03,2.042333109453229809e-02,9.748351919441509247e+07,3.110378254466318176e+05,5.376281978693926940e+05,5.576114920662542805e+06,1.000000000000000036e-10,4.531333526888792962e+07,1.715394632302808077e+03,1.023853532972488611e+05,6.734220958682154423e-01,9.465340549306296980e-01,9.465340549306296980e-01,9.413552041258952396e-01,4.245405525140767689e-02,1.619074062269708347e-02,7.108652370647330354e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.734955619932051363e+01
2.200000000000000000e+02,8.571428571428571175e+00,5.000000000000000104e-03,1.000000000000000021e-08,9.000000000000000000e+01,2.336876717014716938e+07,5.523089284552542243e-03,2.107595885889917975e-02,6.893586797464153171e+07,2.638162093698782264e+05,3.807389537320713862e+05,3.947979088961386587e+06,1.000000000000000036e-10,3.204114477002460882e+07,1.457080479062044333e+03,8.559652354282022861e+04,6.683592809618190689e-01,9.417414337562914906e-01,9.417414337562914906e-01,9.351865638340605136e-01,4.663945567797539438e-02,1.817398048796409205e-02,7.096929757769568914e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.877812762789194068e+01
2.100000000000000000e+02,1.000000000000000000e+01,5.000000000000000104e-03,1.000000000000000021e-08,9.000000000000000000e+01,1.626197127187836356e+07,5.532821224035855238e-03,2.187308668296408451e-02,4.830053148373207450e+07,2.242780707874321088e+05,2.672382057254048414e+05,2.770271421942002606e+06,4.196845258710832383e+01,2.243949075004701316e+07,1.240890470138519959e+03,7.139970161761678173e+04,6.634823203898855271e-01,9.362047572027581976e-01,9.362047572027581976e-01,9.292889216253314988e-01,5.068664808775464464e-02,2.002443028691385657e-02,7.085134023006978143e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,3.020669905646337128e+01
2.200000000000000000e+02,1.142857142857142883e+01,5.000000000000000104e-03,1.000000000000000021e-08,9.000000000000000000e+01,1.147279269707235880e+07,5.550096330983468954e-03,2.268676428181475718e-02,3.430781405499739945e+07,1.914009051959323697e+05,1.904116729107041610e+05,1.972868371771585662e+06,1.928567152475737032e+02,1.593607422145037167e+07,1.062293461674858918e+03,5.993611724297701585e+04,6.576841749891816358e-01,9.304989512708438104e-01,9.304989512708438104e-01,9.223036598662344154e-01,5.561066801854894909e-02,2.208567211521663548e-02,7.070590051457747993e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,3.163527048503480188e+01
2.200000000000000000e+02,1.285714285714285765e+01,5.000000000000000104e-03,1.000000000000000021e-08,9.000000000000000000e+01,8.000377978530668654e+06,5.572284157652557940e-03,2.359881768328100232e-02,2.412096245557705685e+07,1.628444111028897169e+05,1.344088569585441728e+05,1.391719413695872296e+06,2.892992663732987921e+02,1.119697076791673899e+07,9.074153321508925956e+02,5.012632760170116671e+04,6.514137874499590364e-01,9.240731368176107186e-01,9.240731368176107186e-01,9.143901603273026923e-01,6.101138008323217510e-02,2.459845958946513256e-02,7.057300892330780062e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,3.306384191360622538e+01
