# dt (s),ls (dB),QBERI,Pec,maxElev (deg),SKL (b),QBER,phiX,nX,nZ,mX,lambdaEC,sX0,sX1,vZ1,sZ1,mean photon no.,PxA,PxB,P1,P2,P3,mu1,mu2,mu3,eps_c,eps_s,Pap,NoPass,fs (Hz),minElev (deg),shiftElev (deg),SysLoss (dB)
2.000000000000000000e+02,0.000000000000000000e+00,1.000000000000000021e-02,5.000000000000000409e-06,9.000000000000000000e+01,1.345020661029883623e+08,1.249269785887317449e-02,3.197424865044685982e-02,4.489449360480499864e+08,9.234201082112635486e+05,5.608533441319428384e+06,5.046246284471222013e+07,9.742035048718348844e+05,2.312014537208823562e+08,1.153600840869129024e+04,3.903275243441146449e+05,5.942200269996625872e-01,9.566149321721045817e-01,9.566149321721045817e-01,9.523709570818900128e-01,3.552961702187568821e-02,1.209942589623429904e-02,6.202069276737576242e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.000572799738318253e+01
2.100000000000000000e+02,0.000000000000000000e+00,1.000000000000000021e-02,5.000000000000000409e-06,9.000000000000000000e+01,1.352976338223831952e+08,1.256612211728706970e-02,3.221944980109896911e-02,4.546102226567174196e+08,9.377198743060507113e+05,5.712687573671376333e+06,5.134320465653946996e+07,1.021352526982392767e+06,2.336023688433119953e+08,1.178350245233691385e+04,3.953393685856992379e+05,5.963152685270484143e-01,9.565562337821243988e-01,9.565562337821243988e-01,9.528112379169807467e-01,3.527104080828444982e-02,1.191772127473480353e-02,6.221464870021506943e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.000572799738318253e+01
2.200000000000000000e+02,0.000000000000000000e+00,1.000000000000000021e-02,5.000000000000000409e-06,9.000000000000000000e+01,1.359187546402537525e+08,1.264804835815143934e-02,3.238908332721127104e-02,4.580004518785496354e+08,9.507632599635786610e+05,5.792811863415107131e+06,5.199992845585895330e+07,1.070685691338494653e+06,2.353949287559740841e+08,1.202529968917305087e+04,4.010244907785869436e+05,5.961658118047460375e-01,9.564233910428520113e-01,9.564233910428520113e-01,9.530936852726930031e-01,3.507210740922971776e-02,1.183420731807727916e-02,6.218261753504907841e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.000572799738318253e+01
2.000000000000000000e+02,1.428571428571428603e+00,1.000000000000000021e-02,5.000000000000000409e-06,9.000000000000000000e+01,9.182069097847619653e+07,1.327660444002015487e-02,3.437466554872953967e-02,3.189464040413442850e+08,8.425847100670967484e+05,4.234525244023773819e+06,3.766581642150812596e+07,9.677142755706892349e+05,1.639016529323606491e+08,1.118666390276991297e+04,3.524761444337682333e+05,5.921166223910327986e-01,9.511144279368232146e-01,9.511144279368232146e-01,9.490918683382277843e-01,3.750002518235083515e-02,1.340810647942138056e-02,6.199258886318068651e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.143429942595460957e+01
2.100000000000000000e+02,1.428571428571428603e+00,1.000000000000000021e-02,5.000000000000000409e-06,9.000000000000000000e+01,9.223163493379257619e+07,1.338528393146169206e-02,3.465759275917828369e-02,3.222864173209458590e+08,8.512860626337876311e+05,4.313895203094413504e+06,3.831255496733422577e+07,1.016320234214219730e+06,1.654754845177451968e+08,1.139470565524933045e+04,3.558393427098345128e+05,5.928243786276162774e-01,9.511177650874236278e-01,9.511177650874236278e-01,9.491441514476673946e-01,3.751278267655653448e-02,1.334306587577607089e-02,6.206360745746428709e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.143429942595460957e+01
2.200000000000000000e+02,1.428571428571428603e+00,1.000000000000000021e-02,5.000000000000000409e-06,9.000000000000000000e+01,9.252017091262340546e+07,1.349740056698113359e-02,3.491623447265536362e-02,3.249860984359737039e+08,8.597511161953932606e+05,4.386467549290698022e+06,3.889543720912065357e+07,1.065544496040615020e+06,1.667900733427663445e+08,1.160440520319836287e+04,3.594453038953021169e+05,5.930630061537630615e-01,9.510816516396879416e-01,9.510816516396879416e-01,9.490468069415700647e-01,3.754232568247915097e-02,1.341086737595078432e-02,6.209480599641247212e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.143429942595460957e+01
2.000000000000000000e+02,2.857142857142857206e+00,1.000000000000000021e-02,5.000000000000000409e-06,9.000000000000000000e+01,6.162396094597938657e+07,1.436554642979552716e-02,3.751192028523316069e-02,2.263264525303097069e+08,7.704434176978361793e+05,3.251303162115077488e+06,2.848821079581236467e+07,9.605818791484034155e+05,1.158968776622611135e+08,1.106784068846861373e+04,3.196730463319860282e+05,5.900153826223409892e-01,9.448715851343899574e-01,9.448715851343899574e-01,9.436828595046196089e-01,4.098830653848371114e-02,1.532883395689667999e-02,6.208829015672339136e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.286287085452604018e+01
2.100000000000000000e+02,2.857142857142857206e+00,1.000000000000000021e-02,5.000000000000000409e-06,9.000000000000000000e+01,6.177107819351267070e+07,1.452084714556591862e-02,3.787789528348569495e-02,2.284211194419708848e+08,7.799442172582544154e+05,3.316868160235914867e+06,2.900257563108418137e+07,1.009137458433725638e+06,1.169537550295188576e+08,1.132545076087517191e+04,3.236557091067608562e+05,5.900563058995407228e-01,9.447922598700636554e-01,9.447922598700636554e-01,9.437405349295989732e-01,4.106769939211828840e-02,1.519176567828273844e-02,6.208799074250206385e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.286287085452604018e+01
2.200000000000000000e+02,2.857142857142857206e+00,1.000000000000000021e-02,5.000000000000000409e-06,9.000000000000000000e+01,6.183295986965503544e+07,1.467974795431151343e-02,3.819527696167168695e-02,2.300813202822352052e+08,7.928182626059068134e+05,3.377535790738434531e+06,2.947107984684673697e+07,1.057984320918329759e+06,1.178081871540270746e+08,1.163837226862987154e+04,3.294818833115660236e+05,5.898418559588749499e-01,9.445536728058637754e-01,9.445536728058637754e-01,9.436704227999694883e-01,4.102741432130745103e-02,1.530216287872306069e-02,6.207030551925052375e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.286287085452604018e+01
2.000000000000000000e+02,4.285714285714285587e+00,1.000000000000000021e-02,5.000000000000000409e-06,9.000000000000000000e+01,4.034681527583020180e+07,1.588503149745760373e-02,4.166935703737367075e-02,1.598200267481013238e+08,7.270737350997786270e+05,2.538746158818106167e+06,2.181428210964895785e+07,9.498963481080154888e+05,8.160379382029770315e+07,1.154958918303412975e+04,2.997704684598781168e+05,5.869144822252525540e-01,9.368131634136118713e-01,9.368131634136118713e-01,9.386468831400138768e-01,4.420657253951528615e-02,1.714654432047083704e-02,6.205675802413684883e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.429144228309746723e+01
