# dt (s),ls (dB),QBERI,Pec,maxElev (deg),SKL (b),QBER,phiX,nX,nZ,mX,lambdaEC,sX0,sX1,vZ1,sZ1,mean photon no.,PxA,PxB,P1,P2,P3,mu1,mu2,mu3,eps_c,eps_s,Pap,NoPass,fs (Hz),minElev (deg),shiftElev (deg),SysLoss (dB),sigma2,T_turb
2.200000000000000000e+02,0.000000000000000000e+00,5.000000000000000104e-03,1.000000000000000021e-08,9.000000000000000000e+01,1.877633813780600727e+08,5.498779183486851227e-03,1.769316547668400852e-02,5.390412982374229431e+08,6.935219259360968135e+05,2.964069069787668996e+06,3.075712870091102272e+07,1.000000000000000036e-10,2.506790404554384053e+08,3.813523929629117447e+03,2.468761901222594024e+05,6.915661704750488692e-01,9.653730493112141486e-01,9.653730493112141486e-01,9.614652248574515614e-01,2.836434194595960356e-02,1.017043319658883505e-02,7.163334860941695803e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.011957155956130805e+01,1.616344857169283614e+03,1.008083699579749304e+00
2.200000000000000000e+02,1.428571428571428603e+00,5.000000000000000104e-03,1.000000000000000021e-08,9.000000000000000000e+01,1.332236667784179896e+08,5.500254802528189296e-03,1.817719017714840291e-02,3.848264474413671494e+08,6.002353017084153835e+05,2.116643515679241624e+06,2.196273113546551764e+07,1.000000000000000036e-10,1.785971501872727275e+08,3.301447100868667803e+03,2.100600471889233449e+05,6.904033954140779139e-01,9.620067512446837110e-01,9.620067512446837110e-01,9.589664947275430285e-01,2.995006886103031285e-02,1.108343641142665870e-02,7.168221124589739812e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.154814298813273510e+01,1.616344857169283614e+03,1.008083699579749304e+00
2.200000000000000000e+02,2.857142857142857206e+00,5.000000000000000104e-03,1.000000000000000021e-08,9.000000000000000000e+01,9.440355275945800543e+07,5.502352796037368252e-03,1.861926490439280713e-02,2.730622154063493013e+08,5.066441667197479983e+05,1.502484644433284178e+06,1.558913002928243577e+07,1.000000000000000036e-10,1.269563833044257760e+08,2.787734947346427816e+03,1.752862382924108533e+05,6.850932650786054623e-01,9.587042487915931055e-01,9.587042487915931055e-01,9.546902202806755167e-01,3.306618685450125189e-02,1.224359286482323145e-02,7.141443705087001659e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.297671441670416570e+01,1.616344857169283614e+03,1.008083699579749304e+00
2.200000000000000000e+02,4.285714285714285587e+00,5.000000000000000104e-03,1.000000000000000021e-08,9.000000000000000000e+01,6.679556566940310597e+07,5.505270936756016982e-03,1.915830796903771061e-02,1.939477909949274063e+08,4.299928334282428259e+05,1.067735137012404157e+06,1.107740737732512131e+07,1.000000000000000036e-10,9.020290679435618222e+07,2.367227048885876684e+03,1.465020833606721426e+05,6.811206840329235845e-01,9.550317487014120532e-01,9.550317487014120532e-01,9.506140352357919099e-01,3.589636415064893782e-02,1.348960061355915230e-02,7.127299014155652479e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.440528584527559275e+01,1.616344857169283614e+03,1.008083699579749304e+00
2.200000000000000000e+02,5.714285714285714413e+00,5.000000000000000104e-03,1.000000000000000021e-08,9.000000000000000000e+01,4.718136929577830434e+07,5.509337997763069650e-03,1.975076812539453344e-02,1.377459300229636431e+08,3.655479554050646257e+05,7.588888863127264194e+05,7.872286740035138093e+06,1.000000000000000036e-10,6.401907188271567225e+07,2.013927240717722043e+03,1.225338414088772115e+05,6.777037674455655969e-01,9.510088804486005465e-01,9.510088804486005465e-01,9.460135156801093848e-01,3.905944234378511126e-02,1.492704197610550398e-02,7.122496793576774676e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.583385727384702335e+01,1.616344857169283614e+03,1.008083699579749304e+00
2.200000000000000000e+02,7.142857142857143238e+00,5.000000000000000104e-03,1.000000000000000021e-08,9.000000000000000000e+01,3.326270874036187306e+07,5.515076966069182816e-03,2.037918478472600450e-02,9.743559128141136467e+07,3.110293898984421394e+05,5.373647851514430949e+05,5.573381352574743330e+06,1.000000000000000036e-10,4.534648248999174684e+07,1.715351023999448898e+03,1.026051387753681483e+05,6.723063446152562905e-01,9.465222963275233825e-01,9.465222963275233825e-01,9.412388067037619210e-01,4.252217525366366185e-02,1.623901804257441711e-02,7.097605010883788479e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.726242870241845040e+01,1.616344857169283614e+03,1.008083699579749304e+00
2.200000000000000000e+02,8.571428571428571175e+00,5.000000000000000104e-03,1.000000000000000021e-08,9.000000000000000000e+01,2.339865572326923534e+07,5.523097959683298357e-03,2.105880912504474317e-02,6.891299343822143972e+07,2.638329285235174466e+05,3.806132134543093853e+05,3.946674252770299092e+06,1.000000000000000036e-10,3.207109888859636337e+07,1.457175109225508777e+03,8.567135751561897632e+04,6.673572545634860465e-01,9.417305901914966304e-01,9.417305901914966304e-01,9.354205004564083437e-01,4.640349879796181604e-02,1.817600074562984031e-02,7.084695111560399550e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.869100013098987745e+01,1.616344857169283614e+03,1.008083699579749304e+00
2.200000000000000000e+02,1.000000000000000000e+01,5.000000000000000104e-03,1.000000000000000021e-08,9.000000000000000000e+01,1.641867693175053410e+07,5.534272099094772988e-03,2.185457151194298425e-02,4.874970014585532993e+07,2.246169276134961401e+05,2.697941053564435570e+05,2.796647932060159277e+06,9.415692912818329319e+01,2.265257371668411791e+07,1.243091195475762106e+03,7.157349691747488396e+04,6.633422982498907716e-01,9.364357054464695906e-01,9.364357054464695906e-01,9.291304159386574169e-01,5.092497910908762998e-02,1.994460495225495317e-02,7.084579183364507760e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,3.011957155956130805e+01,1.616344857169283614e+03,1.008083699579749304e+00
2.200000000000000000e+02,1.142857142857142883e+01,5.000000000000000104e-03,1.000000000000000021e-08,9.000000000000000000e+01,1.148771582955176011e+07,5.550081869403712329e-03,2.265293787624492877e-02,3.431250936227546632e+07,1.917734503435273946e+05,1.904372361053102068e+05,1.973134066517616855e+06,1.910366849184474631e+02,1.595060600236369111e+07,1.064358349784604343e+03,6.012941756559963687e+04,6.570734497918666595e-01,9.304404768586259644e-01,9.304404768586259644e-01,9.223892593736578993e-01,5.556115080874602513e-02,2.204958981759607556e-02,7.063366448492693905e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,3.154814298813273865e+01,1.616344857169283614e+03,1.008083699579749304e+00
2.200000000000000000e+02,1.285714285714285765e+01,5.000000000000000104e-03,1.000000000000000021e-08,9.000000000000000000e+01,8.010885558284175582e+06,5.572214585230712662e-03,2.360738270848769180e-02,2.414324583843010291e+07,1.629460990984425007e+05,1.345313465957109293e+05,1.392990535936628003e+06,2.796375910650368155e+02,1.121163935930413380e+07,9.079706300027903580e+02,5.013506995702357381e+04,6.512243782089855992e-01,9.240836302009165504e-01,9.240836302009165504e-01,9.145355680250376595e-01,6.110151584446737311e-02,2.436291613049496735e-02,7.054009151526814403e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,3.297671441670416925e+01,1.616344857169283614e+03,1.008083699579749304e+00
