# dt (s),ls (dB),QBERI,Pec,maxElev (deg),SKL (b),QBER,phiX,nX,nZ,mX,lambdaEC,sX0,sX1,vZ1,sZ1,mean photon no.,PxA,PxB,P1,P2,P3,mu1,mu2,mu3,eps_c,eps_s,Pap,NoPass,fs (Hz),minElev (deg),shiftElev (deg),SysLoss (dB),sigma2,T_turb
2.000000000000000000e+02,0.000000000000000000e+00,2.999999999999999889e-02,1.000000000000000021e-08,9.000000000000000000e+01,6.368294347893792391e+07,3.047557648590954946e-02,4.646578508615504394e-02,2.848153849316155910e+08,2.427852776844217908e+06,8.679913047847220674e+06,6.501044335979290307e+07,1.304796783162743736e+02,1.765802829162946343e+08,6.457847833009228634e+04,1.436589994763487251e+06,4.128682712939468757e-01,9.154766461431544933e-01,9.154766461431544933e-01,8.827266589365362348e-01,9.384414091680032266e-02,2.342920014666344253e-02,4.570881066267596937e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.011957155956130805e+01,1.616344857169283614e+03,1.008083699579749304e+00
2.100000000000000000e+02,0.000000000000000000e+00,2.999999999999999889e-02,1.000000000000000021e-08,9.000000000000000000e+01,6.431234956752231717e+07,3.047581548255205719e-02,4.644961520099324948e-02,2.869307449401366711e+08,2.419348639647234231e+06,8.744448439066812396e+06,6.549368123812302947e+07,2.047064983564857528e+02,1.780896145346632004e+08,6.439931354048784851e+04,1.433168044752487680e+06,4.118266011982134045e-01,9.158977388462735680e-01,9.158977388462735680e-01,8.822923724382453203e-01,9.422560741298403875e-02,2.348202014877064092e-02,4.560892205662591681e-01,1.000000000000002137e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.011957155956130805e+01,1.616344857169283614e+03,1.008083699579749304e+00
2.200000000000000000e+02,0.000000000000000000e+00,2.999999999999999889e-02,1.000000000000000021e-08,9.000000000000000000e+01,6.486142088714693487e+07,3.047603929177773036e-02,4.641404573786955812e-02,2.894125646456692219e+08,2.435660791317936033e+06,8.820148691675577313e+06,6.606054667343293130e+07,2.727908736071644284e+02,1.795823383392387927e+08,6.478142160049892118e+04,1.442634075603394536e+06,4.121010062144420671e-01,9.159706029462948429e-01,9.159706029462948429e-01,8.824448357681199395e-01,9.412776814765586031e-02,2.342739608422420017e-02,4.563324675691012300e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.011957155956130805e+01,1.616344857169283614e+03,1.008083699579749304e+00
2.000000000000000000e+02,1.428571428571428603e+00,2.999999999999999889e-02,1.000000000000000021e-08,9.000000000000000000e+01,4.430770151237689704e+07,3.047897584854139530e-02,5.391662505305381409e-02,1.857499370711316168e+08,7.853988873370108195e+05,5.661467845859104767e+06,4.240194772550723702e+07,1.000000000000000036e-10,1.243700331531476527e+08,2.393815371861603489e+04,4.687301376896497095e+05,3.554710059692966495e-01,9.389450367990030966e-01,9.389450367990030966e-01,9.197119365944057545e-01,6.606435843828412091e-02,1.422370496731012457e-02,3.793193893049557897e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.154814298813273510e+01,1.616344857169283614e+03,1.008083699579749304e+00
2.100000000000000000e+02,1.428571428571428603e+00,2.999999999999999889e-02,1.000000000000000021e-08,9.000000000000000000e+01,0.000000000000000000e+00,3.047465301874608540e-02,1.413673607550474942e-01,3.965107583146461844e+08,6.038968698717786465e+05,1.208352777783873118e+07,9.050331442710892856e+07,1.443032264866413698e+03,1.149634441533570141e+08,1.670998888365158564e+04,1.257749956924636354e+05,7.165276361507258995e-01,9.624398349846201572e-01,9.624398349846201572e-01,7.944579647789909993e-01,4.008635797442458570e-02,1.654556772465844150e-01,8.796738171553966090e-01,4.406428170738994066e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.154814298813273510e+01,1.616344857169283614e+03,1.008083699579749304e+00
2.200000000000000000e+02,1.428571428571428603e+00,2.999999999999999889e-02,1.000000000000000021e-08,9.000000000000000000e+01,4.512487438966427743e+07,3.047846637196228309e-02,4.731855769173885784e-02,2.030968246381056011e+08,2.026934255554671632e+06,6.190079739984822460e+06,4.636119824536836147e+07,3.603100322746047937e+02,1.261693214413945675e+08,5.471596278001411702e+04,1.198728894389784662e+06,4.077054689845899804e-01,9.091730333476314430e-01,9.091730333476314430e-01,8.743451853577793864e-01,1.001056669653145187e-01,2.554914767690609489e-02,4.548488502573762582e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.154814298813273510e+01,1.616344857169283614e+03,1.008083699579749304e+00
2.000000000000000000e+02,2.857142857142857206e+00,2.999999999999999889e-02,1.000000000000000021e-08,9.000000000000000000e+01,3.109395116388207674e+07,3.048258546345056219e-02,5.450136098627592074e-02,1.310345855657304078e+08,6.483156790471760323e+05,3.994272953175202478e+06,2.991457449563685432e+07,1.000000000000000036e-10,8.781009993641057611e+07,1.976233809385052518e+04,3.849058856210334343e+05,3.518329034255985865e-01,9.342828572487901218e-01,9.342828572487901218e-01,9.111255853893710510e-01,7.317730052912668759e-02,1.569711408150226140e-02,3.781204028261995753e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.297671441670416570e+01,1.616344857169283614e+03,1.008083699579749304e+00
2.100000000000000000e+02,2.857142857142857206e+00,2.999999999999999889e-02,1.000000000000000021e-08,9.000000000000000000e+01,3.139559436925520748e+07,3.048306743144842124e-02,5.451788998380539125e-02,1.324482488674476296e+08,6.580091008601154899e+05,4.037428901403667871e+06,3.023767671952592954e+07,1.000000000000000036e-10,8.871798599772004783e+07,2.005813579202564142e+04,3.903764579755611485e+05,3.525388103646204807e-01,9.341565606871709004e-01,9.341565606871709004e-01,9.128395435694881543e-01,7.161695556849474731e-02,1.554350086201709835e-02,3.783546815437447419e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.297671441670416570e+01,1.616344857169283614e+03,1.008083699579749304e+00
2.200000000000000000e+02,2.857142857142857206e+00,2.999999999999999889e-02,1.000000000000000021e-08,9.000000000000000000e+01,3.165863019219448790e+07,3.048358301097392475e-02,5.451345755127707388e-02,1.335360821630649716e+08,6.578489652116555953e+05,4.070658245578025468e+06,3.048642555401571095e+07,1.000000000000000036e-10,8.945232185022397339e+07,2.005359353971280143e+04,3.903220298451745184e+05,3.524834721670703219e-01,9.344151324439583517e-01,9.344151324439583517e-01,9.127418929643664747e-01,7.169659160624702876e-02,1.556151542938649657e-02,3.783258067458142304e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.297671441670416570e+01,1.616344857169283614e+03,1.008083699579749304e+00
2.000000000000000000e+02,4.285714285714285587e+00,2.999999999999999889e-02,1.000000000000000021e-08,9.000000000000000000e+01,2.177031366343284398e+07,3.048760212593420310e-02,5.520938509441621761e-02,9.248094619695670903e+07,5.474074005050826818e+05,2.819522291882744059e+06,2.111564754422741011e+07,1.000000000000000036e-10,6.198566295944530517e+07,1.668913902739087644e+04,3.225707647274693009e+05,3.492356900658447616e-01,9.285603474141488345e-01,9.285603474141488345e-01,9.058476982919596576e-01,7.701963684529129772e-02,1.713266486274904465e-02,3.770321733171059231e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.440528584527559275e+01,1.616344857169283614e+03,1.008083699579749304e+00
