# dt (s),ls (dB),QBERI,Pec,maxElev (deg),SKL (b),QBER,phiX,nX,nZ,mX,lambdaEC,sX0,sX1,vZ1,sZ1,mean photon no.,PxA,PxB,P1,P2,P3,mu1,mu2,mu3,eps_c,eps_s,Pap,NoPass,fs (Hz),minElev (deg),shiftElev (deg),SysLoss (dB)
2.000000000000000000e+02,0.000000000000000000e+00,5.000000000000000104e-03,4.999999999999999774e-07,9.000000000000000000e+01,1.436511713671199381e+08,1.015609426209345030e-02,2.700723996280360306e-02,4.446637799110629559e+08,7.817628694287663093e+05,4.516047263715531677e+06,4.220675763721415401e+07,8.619840167635302350e+04,2.263176436562667787e+08,7.939657392523205999e+03,3.232037472722370876e+05,6.078153074379012422e-01,9.597576597388918218e-01,9.597576597388918218e-01,9.546490974825755371e-01,3.436359337912213430e-02,1.098730913830232858e-02,6.330901581468475481e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-02,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.022933301313152299e+01
2.100000000000000000e+02,0.000000000000000000e+00,5.000000000000000104e-03,4.999999999999999774e-07,9.000000000000000000e+01,1.447637920147308707e+08,1.016736575424007603e-02,2.685341427954777288e-02,4.427767594393752217e+08,7.697705541736541782e+05,4.501873260697299615e+06,4.206588855409182608e+07,9.161899253933723958e+04,2.272744625257596076e+08,7.826538771127614382e+03,3.206400630029622116e+05,6.002643590928724571e-01,9.599735117928019923e-01,9.599735117928019923e-01,9.546035185054821959e-01,3.442811398046820293e-02,1.096836751404960120e-02,6.252035909412984038e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-02,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.022933301313152299e+01
2.200000000000000000e+02,0.000000000000000000e+00,5.000000000000000104e-03,4.999999999999999774e-07,9.000000000000000000e+01,1.457060968327357471e+08,1.017528583341186649e-02,2.690725003126576836e-02,4.473951345609114766e+08,7.810288886252539232e+05,4.552373374635037966e+06,4.253180326941812038e+07,9.612522246507828822e+04,2.290606004487727582e+08,7.947192185913962021e+03,3.246995440722660278e+05,6.026419174685966329e-01,9.598938361800523067e-01,9.598938361800523067e-01,9.549289764394471858e-01,3.412555395734791219e-02,1.094546960320490203e-02,6.275119688033253817e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-02,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.022933301313152299e+01
2.000000000000000000e+02,2.000000000000000000e+00,5.000000000000000104e-03,4.999999999999999774e-07,9.000000000000000000e+01,8.804643710209703445e+07,1.027913375251784424e-02,2.802725460688131401e-02,2.751532267959247828e+08,6.247530017877303762e+05,2.828336820672187954e+06,2.637620633032112196e+07,8.696908924259741616e+04,1.401862893972626925e+08,6.421919667663102700e+03,2.545211783252305759e+05,6.020786791408014871e-01,9.545168564746547846e-01,9.545168564746547846e-01,9.492115986925120374e-01,3.798038649539849099e-02,1.280801481208947157e-02,6.302921722778788149e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-02,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.222933301313152299e+01
2.100000000000000000e+02,2.000000000000000000e+00,5.000000000000000104e-03,4.999999999999999774e-07,9.000000000000000000e+01,8.871171581705461442e+07,1.029558864682236438e-02,2.792757500944882329e-02,2.751333767664368749e+08,6.231450373877191450e+05,2.832660070198427420e+06,2.640890176368698850e+07,9.201524402827421727e+04,1.409477078684101403e+08,6.415644972252699517e+03,2.551939058176299150e+05,5.972955422091781319e-01,9.545712006613058520e-01,9.545712006613058520e-01,9.492940185998246516e-01,3.808117705438090334e-02,1.262480434579444505e-02,6.251882060513908046e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-02,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.222933301313152299e+01
2.200000000000000000e+02,2.000000000000000000e+00,5.000000000000000104e-03,4.999999999999999774e-07,9.000000000000000000e+01,8.927021255787414312e+07,1.030849496997166860e-02,2.798078926180436535e-02,2.778137186317931414e+08,6.292103176752512809e+05,2.863841321104964241e+06,2.669356927738102525e+07,9.659610126286973536e+04,1.420226578469000459e+08,6.486211394809604826e+03,2.573655811567099299e+05,5.991474241319602045e-01,9.545713861128938271e-01,9.545713861128938271e-01,9.493000943139562331e-01,3.808037936734225831e-02,1.261952631870150859e-02,6.271350753688359481e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-02,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.222933301313152299e+01
2.000000000000000000e+02,4.000000000000000000e+00,5.000000000000000104e-03,4.999999999999999774e-07,9.000000000000000000e+01,5.360853889773420990e+07,1.047593583047417252e-02,2.935157566047471439e-02,1.699591073599759340e+08,4.994893642172049149e+05,1.780480702507778537e+06,1.654741551266831532e+07,8.741082952267894871e+04,8.662549088854931295e+07,5.232618527543781966e+03,2.002117525416967110e+05,5.963180284497818784e-01,9.485763168443717142e-01,9.485763168443717142e-01,9.425388477929762532e-01,4.275385537494096055e-02,1.470729683208278626e-02,6.281360649469239776e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-02,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.422933301313152299e+01
2.100000000000000000e+02,4.000000000000000000e+00,5.000000000000000104e-03,4.999999999999999774e-07,9.000000000000000000e+01,5.399522515989486128e+07,1.049994343110874882e-02,2.934502618969065529e-02,1.705984560190651417e+08,5.037007254689664696e+05,1.791274137634677812e+06,1.664082916319743544e+07,9.221618083678357652e+04,8.720952939179860055e+07,5.288829123632585834e+03,2.022864512748065754e+05,5.940548145532853486e-01,9.484630000974989539e-01,9.484630000974989539e-01,9.434790612816741362e-01,4.197065822775576660e-02,1.455028049057009720e-02,6.251943184931040287e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-02,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.422933301313152299e+01
2.200000000000000000e+02,4.000000000000000000e+00,5.000000000000000104e-03,4.999999999999999774e-07,9.000000000000000000e+01,5.431654311855709553e+07,1.052134617602649633e-02,2.939057084421181978e-02,1.720276166657901406e+08,5.064987460150258848e+05,1.809962106777562993e+06,1.680823866028544679e+07,9.694538915603354690e+04,8.783282537670139968e+07,5.329048644547407093e+03,2.034222513157193025e+05,5.949954943986465183e-01,9.485314609152092347e-01,9.485314609152092347e-01,9.431938161128028408e-01,4.214285846804887575e-02,1.466332541914828341e-02,6.263624702149087620e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-02,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.422933301313152299e+01
2.000000000000000000e+02,6.000000000000000000e+00,5.000000000000000104e-03,4.999999999999999774e-07,9.000000000000000000e+01,3.233042376435710117e+07,1.079140616021900465e-02,3.105784332469973055e-02,1.046123428749344945e+08,4.043547503122928319e+05,1.128914281335510779e+06,1.043554001285664551e+07,8.759850393991939200e+04,5.332624428598152101e+07,4.363556343433894654e+03,1.594695339008899464e+05,5.899954451305200465e-01,9.414677449944626186e-01,9.414677449944626186e-01,9.348632724233850722e-01,4.825703703685096935e-02,1.687969053976395850e-02,6.259415239513449469e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-02,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.622933301313152299e+01
