# dt (s),ls (dB),QBERI,Pec,maxElev (deg),SKL (b),QBER,phiX,nX,nZ,mX,lambdaEC,sX0,sX1,vZ1,sZ1,mean photon no.,PxA,PxB,P1,P2,P3,mu1,mu2,mu3,eps_c,eps_s,Pap,NoPass,fs (Hz),minElev (deg),shiftElev (deg),SysLoss (dB)
2.000000000000000000e+02,0.000000000000000000e+00,1.000000000000000021e-02,5.000000000000000409e-06,9.000000000000000000e+01,1.343711215902607739e+08,1.249307087659391052e-02,3.201173354523076386e-02,4.486054261240344644e+08,9.348920982233894756e+05,5.604459384192176163e+06,5.042552493347964436e+07,9.724475372111607576e+05,2.310462359509376585e+08,1.167967324507240301e+04,3.945362372939456254e+05,5.946145718826770787e-01,9.563422041833747889e-01,9.563422041833747889e-01,9.535845368148778700e-01,3.461510145656509357e-02,1.180036172855703641e-02,6.199272732667883146e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.015453748339971440e+01
2.100000000000000000e+02,0.000000000000000000e+00,1.000000000000000021e-02,5.000000000000000409e-06,9.000000000000000000e+01,1.351678431371699274e+08,1.256818957844267094e-02,3.221099211592393097e-02,4.539096038415338993e+08,9.481008796484044287e+05,5.704821952556207776e+06,5.127093121485015750e+07,1.020734017876897124e+06,2.333366577768549621e+08,1.191591159490940299e+04,3.997156963546436746e+05,5.962149362010430442e-01,9.562946776630798507e-01,9.562946776630798507e-01,9.535971238648873749e-01,3.449381935022625967e-02,1.190905678488636543e-02,6.216100483436522994e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.015453748339971440e+01
2.200000000000000000e+02,0.000000000000000000e+00,1.000000000000000021e-02,5.000000000000000409e-06,9.000000000000000000e+01,1.357887292566337287e+08,1.264979917453280638e-02,3.238315570974149155e-02,4.574266461938624382e+08,9.592428782210368663e+05,5.786355211432430893e+06,5.194062056118511409e+07,1.069958535003756639e+06,2.351487129791192114e+08,1.213422976909694262e+04,4.045927991434447467e+05,5.961722595222502807e-01,9.562117452748505331e-01,9.562117452748505331e-01,9.536422552450771750e-01,3.458701032560738270e-02,1.177073442931544228e-02,6.215261071221803713e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.015453748339971440e+01
2.000000000000000000e+02,1.428571428571428603e+00,1.000000000000000021e-02,5.000000000000000409e-06,9.000000000000000000e+01,9.172763896830570698e+07,1.327481042297570281e-02,3.446777510458195332e-02,3.192705064049640298e+08,8.370420562342791818e+05,4.238255446173347533e+06,3.769996122935464233e+07,9.668641088114154991e+05,1.639212373637132645e+08,1.111157461256782517e+04,3.492558216207638616e+05,5.930067720387671715e-01,9.512911692735414038e-01,9.512911692735414038e-01,9.492538150117586504e-01,3.754026090641034846e-02,1.320592408183100114e-02,6.207536241935744936e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.158310891197114145e+01
2.100000000000000000e+02,1.428571428571428603e+00,1.000000000000000021e-02,5.000000000000000409e-06,9.000000000000000000e+01,9.213985242356236279e+07,1.338771750542498348e-02,3.466482481733929727e-02,3.220683894391071796e+08,8.478676312238478567e+05,4.311760615237966180e+06,3.829227662083831429e+07,1.016827706785414601e+06,1.653390074907946289e+08,1.135101232881872420e+04,3.544539731706084567e+05,5.928179815561286370e-01,9.511955110864496188e-01,9.511955110864496188e-01,9.488603181360342198e-01,3.763942574103207317e-02,1.350025612293370703e-02,6.208016372095510604e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.158310891197114145e+01
2.200000000000000000e+02,1.428571428571428603e+00,1.000000000000000021e-02,5.000000000000000409e-06,9.000000000000000000e+01,9.242827697540862858e+07,1.350137032049140116e-02,3.486932670215419500e-02,3.244593728183357120e+08,8.636813030195273459e+05,4.380646146374732256e+06,3.884164745194455981e+07,1.065745743962755892e+06,1.665555242415664792e+08,1.166088111095118438e+04,3.616134395072953193e+05,5.927663871818639185e-01,9.509376185127176306e-01,9.509376185127176306e-01,9.488340968408359721e-01,3.765203552954331928e-02,1.351386762962070859e-02,6.207630876567379330e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.158310891197114145e+01
2.000000000000000000e+02,2.857142857142857206e+00,1.000000000000000021e-02,5.000000000000000409e-06,9.000000000000000000e+01,6.155806725765122473e+07,1.436821866701660545e-02,3.757366211160339392e-02,2.262127280328447819e+08,7.674508786478176480e+05,3.250273941638270859e+06,2.847817360454783961e+07,9.605304211790731642e+05,1.158417502086353302e+08,1.102690204060586984e+04,3.180130684680758277e+05,5.901090208701418316e-01,9.449597873933602843e-01,9.449597873933602843e-01,9.440174831221379570e-01,4.072069716502093456e-02,1.526181971284110844e-02,6.207903578389741828e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.301168034054257205e+01
2.100000000000000000e+02,2.857142857142857206e+00,1.000000000000000021e-02,5.000000000000000409e-06,9.000000000000000000e+01,6.170612531743068993e+07,1.452539151345414413e-02,3.785415220115746077e-02,2.280678436112495661e+08,7.846883975274207769e+05,3.312774720082631335e+06,2.896503526315049827e+07,1.008834065156220808e+06,1.168037486032301486e+08,1.139790619015073025e+04,3.258499625002899556e+05,5.898783806013463415e-01,9.445934007844192237e-01,9.445934007844192237e-01,9.439426492201523633e-01,4.087217140041376345e-02,1.518517937943387325e-02,6.205791887306524313e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.301168034054257205e+01
2.200000000000000000e+02,2.857142857142857206e+00,1.000000000000000021e-02,5.000000000000000409e-06,9.000000000000000000e+01,6.176801420814430714e+07,1.468311772773278970e-02,3.821823302784417564e-02,2.299804087631742060e+08,7.872585218166769482e+05,3.376829416941796429e+06,2.946360958321453631e+07,1.058626693784358911e+06,1.177292349973128736e+08,1.155940955799516087e+04,3.271355609126227791e+05,5.898524046637378948e-01,9.447262118509219819e-01,9.447262118509219819e-01,9.431869020528979020e-01,4.139423770812648840e-02,1.541886023897560964e-02,6.209935481696033932e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.301168034054257205e+01
2.000000000000000000e+02,4.285714285714285587e+00,1.000000000000000021e-02,5.000000000000000409e-06,9.000000000000000000e+01,4.030068167721940577e+07,1.588333135143470479e-02,4.169123870446288238e-02,1.599365656927291453e+08,7.228479913804596290e+05,2.540325468108120840e+06,2.182831107655050978e+07,9.501036194930153433e+05,8.157148025280840695e+07,1.148123416381485549e+04,2.979080156771108741e+05,5.876040800906112693e-01,9.370069796562882081e-01,9.370069796562882081e-01,9.379017091392738426e-01,4.468835036107574044e-02,1.740994049965041701e-02,6.217445169064201860e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.444025176911399910e+01
