# dt (s),ls (dB),QBERI,Pec,maxElev (deg),SKL (b),QBER,phiX,nX,nZ,mX,lambdaEC,sX0,sX1,vZ1,sZ1,mean photon no.,PxA,PxB,P1,P2,P3,mu1,mu2,mu3,eps_c,eps_s,Pap,NoPass,fs (Hz),minElev (deg),shiftElev (deg),SysLoss (dB)
2.000000000000000000e+02,0.000000000000000000e+00,2.999999999999999889e-02,9.999999999999999547e-07,9.000000000000000000e+01,6.169451062535183132e+07,3.102654836949504322e-02,4.745185063094599365e-02,2.830365254280630350e+08,2.496375596434770618e+06,8.781646446527611464e+06,6.550494487738700211e+07,2.062942845712227863e+05,1.752775358426018953e+08,6.759429123076984251e+04,1.471303131749107968e+06,4.127285701992092215e-01,9.141480327679093465e-01,9.141480327679093465e-01,8.826855915802610530e-01,9.336109800636903377e-02,2.395331041336991318e-02,4.570058288550782333e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.094179449196487752e+01
2.100000000000000000e+02,0.000000000000000000e+00,2.999999999999999889e-02,9.999999999999999547e-07,9.000000000000000000e+01,0.000000000000000000e+00,3.097645860756277625e-02,1.375155534296974846e-01,7.719569390988092124e+07,1.205957449434366971e+08,2.391249217081512325e+06,1.784361604922944307e+07,4.103506445602645545e+04,1.170321495513884909e+07,3.735629101488565095e+06,2.736515182607965171e+07,4.719872680546678412e-01,4.444675036327253026e-01,4.444675036327253026e-01,9.826318964210517537e-01,3.225249478013321545e-03,1.414285410093492519e-02,4.788201642826976911e-01,4.599030217764008555e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.094179449196487752e+01
2.200000000000000000e+02,0.000000000000000000e+00,2.999999999999999889e-02,9.999999999999999547e-07,9.000000000000000000e+01,6.271081737305109948e+07,3.107204278583615420e-02,4.746071437812462296e-02,2.879017047983621955e+08,2.523154387203109451e+06,8.945694089609880000e+06,6.670634210142927617e+07,2.279567268812648545e+05,1.783179731191619635e+08,6.836054322408200824e+04,1.487428964084586129e+06,4.125459811806065358e-01,9.143977927142190598e-01,9.143977927142190598e-01,8.826785566161186036e-01,9.336159308378148836e-02,2.395985030009990802e-02,4.568025572276209201e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.094179449196487752e+01
2.000000000000000000e+02,1.428571428571428603e+00,2.999999999999999889e-02,9.999999999999999547e-07,9.000000000000000000e+01,4.244424601970061660e+07,3.125255411138820605e-02,4.869867193188467253e-02,1.982487017413862050e+08,2.073069464426546125e+06,6.195778278685133904e+06,4.613972367549979687e+07,2.050904416331106331e+05,1.228927000004040152e+08,5.732029346177385014e+04,1.219157335994711844e+06,4.074833440741536528e-01,9.072277524164186202e-01,9.072277524164186202e-01,8.724382170834709127e-01,1.011060943189486666e-01,2.645568859758042068e-02,4.554737823964902232e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.237036592053630457e+01
2.100000000000000000e+02,1.428571428571428603e+00,2.999999999999999889e-02,9.999999999999999547e-07,9.000000000000000000e+01,4.280697349101038277e+07,3.128338984005301499e-02,4.871976671640852741e-02,2.002062025579222143e+08,2.097921150530543644e+06,6.263128683016099967e+06,4.663077788988338411e+07,2.155293348109966028e+05,1.240809879067687392e+08,5.803508964745500271e+04,1.233555350011128001e+06,4.078592727765585901e-01,9.071397178411563234e-01,9.071397178411563234e-01,8.732179077092310227e-01,1.005804956126921251e-01,2.620159667807685222e-02,4.555577934250879535e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.237036592053630457e+01
2.200000000000000000e+02,1.428571428571428603e+00,2.999999999999999889e-02,9.999999999999999547e-07,9.000000000000000000e+01,4.311330152756176144e+07,3.131507456149922736e-02,4.871655444618722131e-02,2.018483717430666387e+08,2.115689603914549109e+06,6.320896811251346022e+06,4.704999843143489212e+07,2.262188441338955308e+05,1.250727412136522532e+08,5.852473172486777185e+04,1.243860941842040280e+06,4.079907918177362314e-01,9.071285577108361142e-01,9.071285577108361142e-01,8.733360275857702248e-01,1.002697295548871520e-01,2.639424285934262315e-02,4.556823562659718108e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.237036592053630457e+01
2.000000000000000000e+02,2.857142857142857206e+00,2.999999999999999889e-02,9.999999999999999547e-07,9.000000000000000000e+01,2.911619184081930295e+07,3.172625288815355410e-02,5.690499453110396677e-02,1.301582264916056693e+08,7.059990169936359162e+05,4.129432809146248735e+06,3.064609542682848126e+07,2.231156913347818772e+05,8.692323387140700221e+07,2.239870335192790662e+04,4.162953769647076842e+05,3.521878763472254259e-01,9.314031843923699094e-01,9.314031843923699094e-01,9.118140032308077458e-01,7.144395990933241625e-02,1.674203685985983792e-02,3.784143247786371234e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.379893734910773517e+01
2.100000000000000000e+02,2.857142857142857206e+00,2.999999999999999889e-02,9.999999999999999547e-07,9.000000000000000000e+01,2.933067301834806800e+07,3.177628163168161324e-02,5.701196601339698217e-02,1.314807354159868658e+08,7.080661605423334986e+05,4.177968877719013952e+06,3.099510458437956497e+07,2.348694968611365184e+05,8.778424273672997952e+07,2.249970973125667660e+04,4.173339080162840546e+05,3.523576689361697101e-01,9.316323843484783929e-01,9.316323843484783929e-01,9.117584309105171148e-01,7.155937611364397710e-02,1.668219297583890814e-02,3.786109561718815630e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.379893734910773517e+01
2.200000000000000000e+02,2.857142857142857206e+00,2.999999999999999889e-02,9.999999999999999547e-07,9.000000000000000000e+01,0.000000000000000000e+00,3.109091965393020324e-02,6.119036942692825803e-02,3.390211095656212419e+07,1.549844116142493188e+08,1.054047807849099860e+06,7.858746019788037054e+06,1.843472172320961545e+04,1.031691141403231211e+07,2.876058485971869901e+06,4.754050767746952921e+07,7.722861990227143369e-01,3.186628472942427126e-01,3.186628472942427126e-01,7.239173592713048500e-01,2.288170894680137957e-01,4.726555126068135437e-02,9.571174393335131203e-01,3.470556767089078010e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.379893734910773517e+01
2.000000000000000000e+02,4.285714285714285587e+00,2.999999999999999889e-02,9.999999999999999547e-07,9.000000000000000000e+01,1.987400506141942739e+07,3.222800812710416990e-02,5.849171096403803921e-02,9.168820480005192757e+07,6.067292738200163003e+05,2.954928209455665201e+06,2.185078496666001156e+07,2.218166858154848160e+05,6.116262545053413510e+07,1.955367596762350149e+04,3.549480292421146296e+05,3.492530493732051711e-01,9.247726574229830909e-01,9.247726574229830909e-01,9.039586090763540582e-01,7.721600147624498034e-02,1.882538944740096143e-02,3.778175746061540607e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.522750877767916222e+01
2.100000000000000000e+02,4.285714285714285587e+00,2.999999999999999889e-02,9.999999999999999547e-07,9.000000000000000000e+01,2.000162876110188290e+07,3.229590505567932202e-02,5.861641131490107071e-02,9.268110327655571699e+07,6.133344916112240171e+05,2.993220111875253264e+06,2.212322581133533269e+07,2.331991968957562349e+05,6.178091328083022684e+07,1.980819250844944327e+04,3.586636381372984033e+05,3.498133965150634905e-01,9.247706780115745318e-01,9.247706780115745318e-01,9.038848479150993764e-01,7.745984673698433354e-02,1.865530534791629003e-02,3.784413607887969766e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.522750877767916222e+01
2.200000000000000000e+02,4.285714285714285587e+00,2.999999999999999889e-02,9.999999999999999547e-07,9.000000000000000000e+01,0.000000000000000000e+00,3.136985523425486755e-02,7.321041086807983378e-02,2.755271360459439456e+07,9.857607417752146721e+07,8.643246370870107785e+05,6.431086922635820694e+06,2.142730274508444927e+04,8.735306639056447893e+06,2.304554924830499571e+06,3.184324823471048474e+07,7.395917785239203290e-01,3.458427046881398792e-01,3.458427046881398792e-01,8.788087730682989651e-01,8.522051672949629286e-02,3.597071020220474202e-02,7.965760030080939469e-01,4.641346964637377281e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.522750877767916222e+01
2.000000000000000000e+02,5.714285714285714413e+00,2.999999999999999889e-02,9.999999999999999547e-07,9.000000000000000000e+01,1.338011339282755181e+07,3.292372406428519666e-02,6.049132472935455501e-02,6.456264648867486417e+07,5.317185283482262166e+05,2.125642757853122894e+06,1.564123340615342744e+07,2.195586246752598963e+05,4.294916550519121438e+07,1.750615410720480213e+04,3.083167465535391239e+05,3.471264781535425836e-01,9.167997342196873012e-01,9.167997342196873012e-01,8.955169506368598764e-01,8.339130656116033879e-02,2.109174280197978479e-02,3.783148350865865317e-01,1.000000000000002137e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.665608020625059282e+01
2.100000000000000000e+02,5.714285714285714413e+00,2.999999999999999889e-02,9.999999999999999547e-07,9.000000000000000000e+01,1.344708073485373519e+07,3.302251247243774557e-02,6.062705358473150646e-02,6.514828624485914409e+07,5.376304802849310217e+05,2.151360095078805462e+06,1.581950206775275245e+07,2.310268478416928556e+05,4.333244651819674671e+07,1.775390924077182717e+04,3.118412845913212514e+05,3.471128095954320592e-01,9.167223848648453632e-01,9.167223848648453632e-01,8.954588104787492009e-01,8.336899545875452178e-02,2.117219406249627733e-02,3.783266255076914164e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.665608020625059282e+01
